stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,554.56,13367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.68,0,0,0,0,0,0,0,0
  5-6,189.27,3179.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.49,0,0,0,9.2,45.4,0,0,0,0,0,0,0,0
  7-9,15.01,12,0,4.53,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.43,0,0,0,68.84,0,29.1,0,0,0,0,0,0,0
 10-12,0,0,0,20.65,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.45,5.97,0,0,61.74,0,11.92,9.31,19.91,0,0,0,0,0
 14-21,0,0,0,0,0.98,0.94,0,3.89,0,0,0,0,0.94,0,0,0,0,0,2.94,0,0,0,3.17,109.98,0,0,0,0,0,0,2.81,0,0,60.27,0,0,0
 24-34,0,0,0,1.34,0.86,0,0,144.51,0,0,0.87,0,0,0,0,0,0,0,0.63,3.73,0.93,0,6.57,686.62,2.27,0.77,0.73,0,1.26,0,0,0,0,233.21,0,0,0
 36-46,0,0,0,0,11.89,0,0,538.47,0,0,7.93,0,0,0,0,0,0,0,0,2.22,1.35,0,1.79,519.36,0.58,0.67,0,0,9.36,0,0,0,0,226.52,0,1.5,3.36
 48-58,0,0,0,0,0,0,0,495.23,0,0,10.16,0,0,0,0,0.48,0,0,0,4.66,0,0.55,1.93,301.69,2.72,0,0,0,0,0,0,0,0,47.73,0,0,0
 60-70,0,0,0,0,0.97,0,0,435.29,6.5,0,8.23,0.85,0,3.7,0.6,0,0,0,1.45,5.88,0,0,0,212.57,0,1.98,0,0,1.71,0,0,0,0.62,30.52,0,0,0
 72-82,0,0,0,0,4.47,4.18,4.12,208.43,0,0,9.42,0,0,0.66,0.67,0,0,0,0,6.5,0.73,0,1.64,161.66,0.73,1.09,0,0,0.74,0,0,0,0,6.35,0,3.23,0
 84-94,0,0,0,0,1.34,5.05,5.31,162.56,0,0,3.46,1.31,0,0,0,0,1.25,0,0,6.83,0,5.32,0,162.05,1.74,0,0.91,0,0.63,0,0,0.73,0,10.06,0,0,0
 96-106,0,0,1.17,0,10.4,0,9.42,124.81,0,0.97,7.19,0,0,0.96,0,0,0,0.75,0,2.36,0,0,0.69,142.78,0,0,0,0,1.35,0,0,0,0,4.34,0.56,1.47,0
108-118,0,0,0,0,4.53,1.5,46.11,167.36,0,0,10.48,0,0,0,0,0,0,0,2.23,8.77,0,0.69,0,128.86,0.47,1.5,0,0,2.04,0,0,0,0,3.76,0,1.55,0
120,0,0,0,0,1.14,13.51,8.49,239.93,0,0,15.89,8.01,0,0,0,0,0,0,0,2.73,0,0,3.36,263.12,0,3.57,0,0,3.06,0,0,0,0,16.72,0,0,0
