stage,blastomeres,eye,fast_muscle,glial,mesenchyme,muscle,neural,slow_muscle,somites,spinal_cord,xanthophores
  5-6,21.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,16.32,0,4.51,10.01,0,0
 24-34,0,0,0,0,2.41,9.82,2.75,0,1.95,0,0
 36-46,0,0,3.86,0,4.05,1.47,0,0,2.35,0,1.8
 48-58,0,1.2,0.53,0,2.77,4.32,0,0,0,0,24.24
 60-70,0,7.31,6.72,0,0,6.41,17.62,5.38,0,0,25.79
 72-82,0,1.5,13.7,0.62,0,18.32,17.95,0,0,0,15.93
 84-94,0,0,15.6,0,1.53,2.33,10.25,0.86,0,0.68,15.86
 96-106,0,0,25.61,0,0,2.43,0,0,0,0,16.5
108-118,0,0,8.49,0,0,4.49,8,0,0,0,5.18
120,0,1.77,12.46,0,22.16,0,0,0,0,0,0
