stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.88,0,1.93,10.82,0,0,0,1.46,1.59,0,0.88,5.66,0,0,0,0,0
 24-34,0,0.6,0,3.37,2.65,0,0,0,0.86,0,0.67,0,0.79,0,0,0,0,0.98,0,0,32.7,0,2.82,0,4.09,0,0,0,16.12,0,0,1.73,0,0
 36-46,0,0,0,0,2.48,0,1.04,0.95,0,0,0,0,0,0,0,0,0,1.46,0,0.58,44.26,0,0,0,4.34,0,0,0,10.45,0,0,2.08,0,0
 48-58,0,0,1.77,0,8.7,0,0,0,0.47,0,0,7.01,0,0,0,4.44,0,5.09,0.5,0,21.12,0,1.47,0,2.95,0,0,0,5.99,0,0,0,0,0
 60-70,0,0,6.92,0,5.52,0,0,0,2.64,0,0,2.61,0,0,0,0,0,2.23,2.56,0,0.9,0,4.11,1.49,6.96,0,0,0,1.63,0,0,2.37,0,0
 72-82,0,0,3.11,0.58,13.66,0,0,0.89,8.23,2.26,0,0.53,0,0,0,0,0.49,2.48,0,0,27.72,0,4.88,1.18,0,0,0,0,1.82,0,0,0,2.44,0
 84-94,2.44,0,3.63,1.21,0,0,0,0,2.79,0,0,2.82,0,1.32,0,0,0,4.66,0,0,20.77,0,1.66,0,4.62,0,0.64,0,0,0,0,1.06,1.02,0
 96-106,0,0,3.05,0,8.75,0,0,0,3.4,0,0,0.88,1.23,0,0.77,0,0,4.33,0,0,13.8,0,8.24,0.67,11.39,0,0,0,1.13,0,0,1.55,0,0
108-118,0,0,6.54,1.05,4.04,2,0.46,0,6.33,0.53,0.51,0.5,0,1.53,0,0,0,0.41,0,0.7,21.86,0.69,8.42,0.55,2.31,0,0,0,2.54,1.29,1.35,1.59,0,0.63
120,0,0,7.26,0,0,0,0,0,24.44,1.55,0,0,0,1.11,0,0,0,2.55,0,2.55,2.47,0,5.76,0,16.28,0,0,0,0,0,0,6.81,0,0
