stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,8.71,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,24.9,4.58,0,15.52,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,0,0,5.07,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0.84,0,0,0.91,0,0,1.5,0,0,0,0,0,0.82,3,32.2,0.9,0,1.72,0,0,2.09,0.95,5.82,13.31,0,0
 24-34,0,0,1.47,0,7.7,0,0,1.77,0,0,0,0,0,0,0,0,0.85,1.46,32.23,0,0,0,0,0,0,0,0.64,11.14,0,0
 36-46,0,0,2.6,0,7.63,0,0,2.24,0,0,0,0,0,0,1.62,0,1.79,0,28.75,0,0,0,0,4.14,0,0,0,5.94,0,0
 48-58,0,0,0,0,31.72,0.6,0,8.7,0,0,0,0,0,0,0,0,3.23,2.76,15.65,1.4,0,0,0,0.51,0,0,0,4.87,0,0
 60-70,0,0,2.19,0,14.21,0,0,0,0,0,0,0,0,0,0,0.71,2.16,0,54.45,0,0,0,0,2.1,0,0,0,0,0,0
 72-82,0,0,0,0,26.7,0,0.64,4.29,0,0,0,0.59,0,0.65,0,0,3.61,0,14.53,0,2.29,0,0,0,0,0,0,2.24,0.56,1.3
 84-94,0,0,0,1.48,4.39,0,0,2.94,1.29,0,0,0,0.67,0,0,0,1.24,1.33,9.27,0,0,0,0,10.56,0,0,0,0,0,0
 96-106,0,0,1.78,0,10.4,0,0,10.33,0,0,0,2.51,0,0,0,0,11.19,0,13.34,0,1.84,0,3.05,11.62,0,0,0,0,0,0
108-118,0,0,4.47,0,10.63,0,0,6.94,0,0,0,0,0,0,0,0,5.13,1.9,18.03,0,0,0,0,9.6,0,0,0,0,0,2.13
120,0,0,17.08,0,21,0,0,7.77,1.08,0,0,0,0,0,0,0,36.27,1.86,14.3,0,0,0,0,1.15,0,1.32,0,0,0,0
