stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,38.88,415.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.74,1232.86,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,8.9,0,0,23.21,0,0,0,0,0,0,0
  7-9,18.84,58.13,103.74,0,0,258.89,0,0,0,22.47,0,0,0,0,0,1833.62,18.68,0,611.78,0,5.74,0,13.28,0,0,0,0
 10-12,0,50.28,103.88,0,6.18,161.49,0,0,0,4.32,0,0,0,0,0,1441.03,6.18,0,449.92,0,0,0,53.96,0,4.75,0,0
 14-21,0,0,5.83,37.25,9.2,16.41,0,14.62,2.04,0,1.77,0,14.45,0,16.62,339.65,6.04,0,5.29,0,0,28.56,0,4.26,22.28,98.88,5.65
 24-34,0,0,0,0,0,8.31,0,3.37,0,0,0,0,8,0,1.56,118.93,0,0,0,0,0,0,0,0,0.94,37.02,5.32
 36-46,0,0,0,0.68,0,15,1.23,5.71,0,0,0,0,11.48,0,4.98,57.58,0,0.6,0,0,0,0,0,0,0,22.79,0
 48-58,0,0,0,3.45,0.49,0.81,0,0.59,0,0,0,0,3.03,0.75,1.94,13.4,0,0,0,0,0,0,0,0,0,5.8,0
 60-70,0,0,0,1.27,0,2.43,0,2.34,0,0,0,0,2.5,0,5.61,5.19,0,0,0,0,0,0,0,0,0,0,0.87
 72-82,0,0,0,0,0,0,0,1.48,0,0,0,0,3.77,0,1.24,4.78,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.13,0,1.02,0,0,0,0,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0.57,2.84,1.32,0,0,0,0,8.48,0,0,0,0,0,0,0
108-118,0,0,0,1.74,0,0,0,0.73,0,0,0,1.73,0,0.92,0,1.44,0,0,0,0,0,0,0,0,0,0.44,0
120,0,0,0,0,0,0,0,4.08,0,0,13.62,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
