stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,1.99,2.32,0,0,0,0,0,1.25,0,7.9,0,0,9.72,0,0,0,0,0,0,0,0,22.89,3.56,0,0,0,0,0,0,0.96,184.61,46.04,0,0,0,0,0
 24-34,0,0.71,0,14.37,0,0,14.53,0,0.74,0,2.19,0,13.16,1.24,4.11,46.15,0,0,0,0,12.27,2.85,0,10.85,428.57,0.64,2.33,5.18,0,0,3.02,0,0,264.49,146.02,0,0,52.2,0,0
 36-46,0,0,0,17.17,0,0,59.27,0,1.39,0,13.84,0,0.76,3.98,26.78,25.54,17.92,2.16,1.46,1.12,10.25,2.77,0,5.23,1128.76,0,4.89,27.43,0,0,1.24,0,0,210.71,349.5,0,0,131.17,0,0
 48-58,0,1.29,0,14.84,0,0,210.06,0,0.62,5.81,22.97,0,2.79,1.31,15.02,23.59,17.24,0.81,0,8.91,28.54,1.43,0,13.13,1833.02,0,9.12,15.78,0,0,0,0,4.97,101.72,312.82,0,0,114.78,0,4.32
 60-70,0,3.21,0,13.46,0,0,689.6,0,7.22,4,29.08,1.82,2.78,3.31,9.82,9.18,29.24,1.13,0,0,66.3,3.71,0,9.97,2903.24,4.99,3.97,30.69,0,2.16,2.16,0,0,29.12,428.86,0,117.77,61.39,3.09,1.82
 72-82,0,1.92,0,16.5,5.86,1.16,1444.24,1.87,4.15,7.39,58.49,2.6,0.58,0.81,6.01,8.24,47.95,2.54,0.72,0,90.76,2.52,3.63,7.54,3267.74,1.15,4.31,24.43,0,0,5.23,0,0.53,2.68,252.39,7.87,185.27,100.11,2.81,22.97
 84-94,0,1.11,0,27.95,2.36,0,1141.33,0.56,5.03,0,56.32,6.25,0.86,1.57,12.53,19.48,54.67,2.94,0,0,95.19,6.82,1.97,4.74,2186.17,0.65,12.5,34.07,0,0,7.43,0,0,3.47,196.32,7.93,236.22,112.11,20.53,0
 96-106,0,1.72,0,24.45,22.66,0,1131.26,0.64,0.66,3.75,50.99,2.8,0,4.54,13.92,8.04,45.12,4,9.2,0,52.9,1.9,23.77,0,1962.8,0,15.61,36.94,0,3.88,8.55,2.06,0,1.36,64.31,13.33,261.25,130.32,12.96,2.21
108-118,0,0.41,0,26.01,3.82,1.22,1076.78,0,9.95,1.19,63.19,3.73,0,0.88,15.87,15.67,93.35,4.03,0,0,30.46,4.46,1.11,4.12,2130.24,1.92,12.73,29.28,0,8.76,8.81,0,0,0,60.16,3.63,500.32,98.8,5.9,2.77
120,0,0,0,28.98,6.03,0,874.39,0,7.87,6.64,108.75,17.53,0,5.5,23.38,13.79,46.69,5.77,0,0,65.74,1.59,6.76,2.97,4038.65,5.18,21.8,51.71,0,0,1.35,0,0,0,118.15,13.26,179.34,119.72,31.58,0
