stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,vasculature
  3-4,0,663.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0
  5-6,8.25,807.37,0,0,0,0,0,0,0,0,0,0,68.5,0,0,0,0,0
  7-9,10.26,8.69,17.07,0,17.31,0,22.73,0,0,0,0,0,228.25,0,0,90.43,0,0
 10-12,0,8.96,0,0,8.99,0,0,0,0,0,0,0,47.97,0,0,20.75,0,0
 14-21,0,0,0,1.61,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.64,2.97,0,3.67,0,0,1.04
 36-46,0,0,0,0,0.62,0,0,0,0,0,0,0.58,2.91,0,2.44,0,0,0
 48-58,0,0,0,0,0.91,0,0,0,0,0,0,0,0.89,0,2.41,0,0,1.02
 60-70,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0.67,2.29,0,0,1.82
 72-82,0,0,0,0,0.96,0,0,0,0,0,2.77,0,8.21,0,6.97,0,0,0
 84-94,0,0,0,0,1.39,0,0,0,7.71,0,0.97,0,14.55,0,18.31,0,0,0
 96-106,0,0,0,0,11.67,0.93,0,0.66,1.19,0,9.38,0,0,0,23.58,0,0,0
108-118,0,0,0.74,0,9.42,0,0,0,2.72,0.97,0,0,3.37,0,23.2,0,0,0
120,0,0,0,0,8.44,0,0,0,9.65,0,0,0,0,0,20.6,0,0,0
