stage,blastomeres,endoderm,epidermis,eye,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,neural,spinal_cord
  5-6,10.31,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,16.16,0
 10-12,0,7.41,0,0,0,0,0,0,0,0,15.05,0
 24-34,0,0,0.72,0,0,0,0,0,0,0,0,0.73
 48-58,0,0,0,0,0,0,0,0,1,0,10.14,0
 60-70,0,0,0,0,0.98,0,0,1.55,0,0.97,1.36,0
 72-82,0,0,2.48,0,0,0,2.31,1.43,0,0,1.06,0
 84-94,0,0,0.63,0,0,2.64,0,0,0,4.41,0,0
 96-106,0,0,0,0,0,1.58,0,0,0,0,4.7,0
108-118,0,0,2.8,0.62,1.08,4.79,0,0,0,1.13,4.2,0
120,0,0,3.12,8.85,4.42,0,0,11.86,0,0,11.17,0
