stage,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,ionocyte,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,55.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.01,0,0,0,0,0,0,31.11,0,0,0,0,0,0
 10-12,3.32,5.23,0,6.97,0,0,0,0,0,0,8.2,0,0,15.95,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,4.69,0,0,0,0,0.99,0.83
 24-34,0,0,3.19,4.07,0,0,0,0,0,0,10.84,0,0.75,0,0,0,2.83
 36-46,0,0,0.69,1.63,1.41,0,0,0,0,1.66,3.07,0,0.76,0,0,0,0.62
 48-58,0,0,0,2.37,0,0,0,0,0,6.91,3.7,0.91,0,0,0.6,0,0
 60-70,0,0,0,2.47,0,0,0,0,1.41,0,0,0,0,0,0,0,0.76
 72-82,0,0,0,0.64,0,2.38,0,0.53,0,1.15,5.33,0,0,0,0,0,3.58
 84-94,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.6,0,1.07,1.03,0,0,1.15,0,0
108-118,0,0,0.64,2.24,0,5.02,0,0,0,0,2.87,0,0.5,0,0.5,0,0
120,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0
