stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.2,1.09,0,0,0,0,0,2.98,0,5.27,0,0,0,1.35,19.65,0,0,0
 24-34,0,0,0,0,1.24,0,0,0,0,2.44,0.68,67.36,0,3.65,0,0,30.66,0,0,0
 36-46,0,2,0,2.92,0,2.98,0,0,0,7.58,0,97.31,0,2.9,0.66,0.89,37.82,0,0,0
 48-58,0,0.51,0,13.22,0.84,1.46,0,0,0,2.96,4.31,133.11,6.05,0.9,0,0,43.4,0,0,0
 60-70,0,1.5,0,6.44,0,2.75,0,0,0,7.88,0,162.67,0,0,0,0,33.51,1.8,0,0
 72-82,0,1.79,0,4.68,3.61,3.79,0,0,0,3.8,0,164.99,0,0,3.11,0,10.62,0.5,1.37,4.41
 84-94,0,0,0,18.16,0.91,1.24,0,1.34,0,11.49,0,96.42,0,0,0.56,9.49,9,0,0,0
 96-106,0,6.53,0,0,1.07,0,1.35,0,14.21,4.67,0,76.39,0,0,1.21,0,1.8,0,0.68,0
108-118,2.96,0.45,0,6.12,0.72,0.99,0,0.88,0,1.92,0,88.23,0,0,1.22,0,3.42,0.69,0,0
120,0,0,0,2.73,0,0,0,0,0,6.49,0,274.19,0,0,0,0,7.32,0,0,0
