stage,erythrocytes,eye,fast_muscle,glial,immune,liver,mesenchyme,neural,periderm,taste,xanthophores
  7-9,0,0,0,0,0,0,0,9.48,0,0,0
 24-34,0,0,0,0,0,5.19,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,10.96,0,0,0
 72-82,0,0,0,0,0,8.47,0,1.56,0,0,0
 84-94,0,0,0,0,0,13.57,0,0.75,0,0,0
 96-106,0,2.72,0.76,0,0,98.53,0,6.9,4.33,1.86,0
108-118,0,5.32,0,0.42,0.7,135.23,4.49,9.88,0,0,2.86
120,6.16,2.38,0,0,0,114.56,0,28.32,0,0,0
