stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.75,48.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.71,4.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76,0,0,0,9.94,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,6.24,1.1,0,0,0,0,0,0,0,1.7,0,0,0,3.6,0,0,1.03,18.2,0,0,2.33,0,19.04,0,7.17,0,0,0,0
 24-34,0,0,0,0,9.59,0.6,0,1.61,0,2.68,0,0,0,1.01,0,0.78,0,4.68,1.54,0,4.2,13.9,2.02,0.69,0.77,0,27.19,1.32,19.48,0,0,10.03,0
 36-46,0,0,0,0,5.51,0,0,4.77,0,4.87,0.56,0,0,0.6,0,0,2.63,13.17,3.23,1.26,3.51,7.51,3.42,0,1.33,0,29.29,0,13.3,0,0,2,0
 48-58,0,0,0,0,10.04,0,3.06,0,2.98,4.57,0,0,0,0,0,0,0,9.48,2.73,0.91,1.58,5.91,0.44,0,0.44,0,12.03,0,9.96,0,0.42,0,0
 60-70,0,0,0.65,0,6.71,0,6.45,1.96,0,8.21,0,0,0,0.93,0,0.63,0,11.67,1.01,0,0,0,4.14,0,7.42,0,17.95,0,7.64,0,0,0,5.14
 72-82,0,0,0.86,0,6.37,3.44,12.37,0,2.78,11.2,0,0,0,0.83,0,1.42,0,7.05,0.83,0.91,0,7.24,0,0,1.67,0,8.59,0,2.46,1.44,0,0,0
 84-94,0,0,0,0,13.12,0,6.83,3.28,0,17.68,0,0,0.83,0.76,0.68,0.81,0,6.41,2.91,0,0,1.48,3.17,0.8,2.23,0,30.24,0,2.69,0,0,0,0
 96-106,0,0,0,0,3.61,0,0.71,0.76,0,12.31,0,1.43,0,0,0,0,0,6.01,2.07,0,2.26,4.02,0,0.87,2.25,0,25.44,0,0,0,0,0,0
108-118,0,0,0,0,10.87,0,2.43,2.43,0.88,7.23,0,0,0,2.08,0,1.26,0,7.38,0,0.56,0,2.98,0.47,0.47,5.81,0,13.16,0,0,0,0,0.71,0
120,0,0,0,0,6.34,0,0,8.29,0,16.42,1.46,0,0,1.48,0,5.57,0,9.3,12.14,0,5.58,1.07,10.73,1.48,0,0,28.17,0,0,0,0,0,0
