stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,536.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0
  5-6,34.92,820.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.75,15.57,0,0,0,0,18.06,0,0,0,0,0,0,0,0,0,0
  7-9,34.6,56.83,0,24.77,0,0,0,78.21,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,730.81,35.14,0,0,239.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.4,0,20.77,0,0,0,121.83,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,746.17,23.35,0,0,196.7,0,0,0,26.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,32.4,1.82,0,11.33,0,0,0,2.34,0.85,0,0,0,0,0,0,0,0,13.48,0,10.79,171.15,2.11,0,3.48,1.96,0,1.29,22.52,1.97,1.07,22.14,52.66,0,0,1.91,0,0
 24-34,0,0,1.28,0,10.3,0,0,20.66,0,0,0,0.78,0,0,0.98,0,0,0,0.79,0,0,37.14,0,12.54,249.03,5.35,0.78,1.99,0,0,1.45,0,0,0,4.77,55.48,0,0,4.22,0,0
 36-46,0,0,0,0,4.85,1.12,0,37,0,2.65,1.7,22.72,0,0,0.56,0,0,0.65,0,0.89,0,37.18,0,11.17,254.69,0,1.52,1.06,0,0,3.68,0,0,0,0,55.93,0,0,3.04,0,0
 48-58,0,0,0,0,15.62,0,0,54.7,0,0,0.99,36.46,0.47,0,1.05,0,0.46,0.72,1.48,0,0,72.43,3,8.01,138.22,0,0,0.45,0,0,0.98,0,0,1.63,0,39.01,0,0,3.18,0,0.69
 60-70,0,0,0,0,6.81,4.64,0,50.1,0,0.59,0,42.78,1.98,0,0,1.24,6.34,5.93,1.16,11,1.97,86.12,0.7,15.48,74.14,5.47,2.1,0,0,0,6.03,0,0,3.69,0,28.75,0,0,8.27,0,4.37
 72-82,0,0,0,0,3.62,1.56,0,24.12,17.75,2.73,3.68,36.61,0,0,0,0.61,0,0,1.52,0,0,88.88,4.36,7.09,55.05,0,0,3.31,0,2.36,1.59,0,0,0,0,11.1,0,0,12.86,0.91,13.86
 84-94,0,0,0,0,8.48,0,0,28.59,1.38,0.67,7.68,22.59,0.57,0,1.31,0.71,0.62,2.85,3.19,0,0.58,117.54,3.05,8.49,56.09,0,0,1.5,0,0,6.71,0,0,0,0,5.67,3.4,3.59,28.64,0,1.25
 96-106,0,0,1.38,0,6.94,14.87,0.94,23.81,1.98,0.66,2.88,42.36,0,0,4.28,6.68,0,1.35,2.05,0.69,0,95.05,0.93,4.74,53.96,1.15,0,3.63,0,0,19.62,0,0,0.59,0,13.56,0,1.88,14.56,1.96,0.8
108-118,0,0,0.85,0,18.49,0.42,2.39,30.02,0,2.05,1.69,24.96,3.51,0,2.2,1,1.26,1.66,4.21,0,0,94.91,2.05,9.96,50.96,0.56,2.09,5.21,0,1.8,7.44,0,1.86,0,0,5.19,2.28,0,4.47,0,6.21
120,0,0,0,0,5.62,1.53,0,50.36,11.18,0,4.32,25.46,4.4,0,0,0,5.16,0,3.59,0,0,94.53,12.41,6.3,76.3,12.46,0,9.04,0,0,41.1,0,0,0,0,15.97,2.06,8,22.4,0,0
