stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle
 14-21,0,0.87,1.37,0,1.08,0,0,0,0,0,0,1.1,0,0,42.72,0,0,0,0,1.23,20.52,0,0
 24-34,0,0.94,15.52,0,0,0,0.65,0,0,0.89,0,2.5,0,0,95.47,0.76,0.75,0,0,0,17.79,0,0
 36-46,0.78,0,63.63,0.58,18.65,0,0,0,0,0,0,3.24,1.18,0,211.16,1.38,0.56,6.1,0,0,45.2,0,0
 48-58,0,0,83.04,2.14,15.43,0,2.85,0,3.79,0,0,3.92,0.41,0.42,178.02,0,0,0,0,0,41.31,0,0
 60-70,0,0,65.82,0,3.68,0,1.99,0,0,0,0,1.17,2.4,2.53,48.98,4.71,0,0,0,0,6.05,0,0
 72-82,0,2.06,38.28,0,7.85,0.72,0,0,1.47,0.57,3.06,5.06,1.81,0,85.9,0.93,0,0,0,0,18.4,0,0
 84-94,0,6.64,27.29,1.27,9.08,0,1.95,1.8,1.16,0.95,0,1.78,3.62,0,48.95,0,0,3.43,0.67,0,13.41,8.87,0
 96-106,0,1.98,18.36,0,0.98,1,0,0,0.58,0,0,3.65,0.69,0.94,37.25,1.54,0,1.02,0,0,0,4.96,0
108-118,0,5.75,38.05,0,1.58,0.92,0,0,2.45,1.79,0,5.93,0.8,0,43.49,0,0,0,0,0,1.88,8.67,1.69
120,0,3.75,2.63,0,0,0,0,0,0,1.67,0,0,0,1.47,24.56,0,0,0,0,0,0,4.42,0
