stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.57,327.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0
  5-6,15.85,318.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.97,2.1,0,0,0,0,0,0,11.46,0,0,0,0,0,0,9.25,0,1.98,46.61,2.28,0,0,0,0,0,0,0,12.96,0,0,0.9,0,0.95
 24-34,0,0,0,0.61,0,5.58,0,2.97,0,2.78,0,1.2,0,0,0,0,0,0,8.73,0,9.64,277.11,88.47,54.12,4.35,0,0,0,1.13,0,71.44,0,0,7.4,0,7.76
 36-46,0,0,0,0.84,0,8.48,0,2.79,0,9.81,0,0,0,0.91,0,0,0,0,13.84,0,25.96,884.55,146.42,110.71,0,0,2.21,0,0,0,217.74,0,0.85,3.22,0,4.48
 48-58,0,0,0,1.54,5.65,36.8,0,2.06,0,41.43,0,1.02,0,0,4.83,0,0,0,51.73,0.88,39.4,1326.13,147.17,28.07,2.85,0,1.94,0,0,1.57,189.19,0,0.44,1.01,0,0.63
 60-70,0,0,0,20.73,0,405.05,1.42,0.68,7.86,221.09,0,0.6,1.92,0,8.58,0,0,9.71,87.77,17.58,71.28,2683.96,69.17,51.53,9.46,2.47,6.02,0,0,2.16,299.52,0,15.98,13.13,16.32,0
 72-82,0,0,0,11.99,0,539.39,0,4.04,1.41,247.38,0,0,1.23,0,4.18,0.69,0,0,119.21,6.2,59.34,2060.52,32.13,40.66,18.18,0.71,0,0,0,0,296.54,3.16,32.16,22.63,38,0
 84-94,0,0,0.7,16.83,2.86,540.74,2.83,0,5.98,204.49,1.42,1.92,4.73,0,12.05,0,4.39,0,162.36,16.94,38.04,1788.69,61.08,39.79,21.94,0,0,0,1.87,0,244.78,0,70.45,15.33,80.25,0
 96-106,0,0,0,14.6,26.96,445.91,2.25,0,0.82,203.93,0,5.17,0.58,0,0,0,1.8,7.05,163.59,15.88,42.43,1154.49,20.07,88.46,65.55,3.13,0.67,0,0,0.6,105.07,1.26,45.85,18.02,60.92,0
108-118,0,0,0,21.76,1.97,450.23,0,0.46,0,221.07,0,3.22,0,0.79,0.82,0,0,1.99,205.59,22.96,54.63,1294.75,15.53,43.91,31.92,4.16,0.96,0,0,0.41,67.5,8.73,32.9,16.79,26.8,0.99
120,0,0,0,23.01,0,348.83,1.04,2.88,1.85,332.58,0,3.65,1.01,0,0,0,7.84,0,292.76,40.93,38.35,2056.09,19.48,64.32,52.43,2.63,0,0,0,0,47.52,0,68.08,30.38,98.9,0
