stage,endocrine_pancreas,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,taste,vasculature
 14-21,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.77,0.85,0,0,0
 36-46,0,0,0,1.04,0,0,0,0,0,0,0.65,0,0,0
 48-58,0,0,0,0,1.45,0,0,0,0.43,0,1.31,0,0,0.92
 60-70,0,0,0,0,1.2,0,1.4,0,0,0,1.26,0,0,0
 72-82,2.29,0,0,0,0,1.31,8.19,0,0,0,4.21,0,0.51,0.6
 84-94,0,0,0,0,0,0.96,9.7,0,0,0,1.26,0.6,0,0.58
 96-106,2.89,0,0,0,0,4.15,31.89,0,1.47,0,0,0,0,0
108-118,0,0,0.58,0,0.57,1.45,40.66,1.73,0.72,0.61,11.83,0,0,0
120,1.22,0,0,1.29,3.65,1.68,94.91,0,0,0,5.43,0,0,2.25
