stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,20.88,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,0,0,0,0,0,0,0,0,0,17.23,0,0,0,0,0,0
  7-9,0,0,0,0,4.53,0,0,0,0,44.87,0,0,0,16.33,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,51.93,0,0,0,22.04,0,0,0
 14-21,0,0,0,1.81,0,2.38,0,0,0,5.24,0,0,0,1.09,0.89,6.67,11.99
 24-34,0,0,0,2,0,2.5,0,0,0,14.17,0,2.43,0,0,0,1.06,12.52
 36-46,0,0,0,0,0,0.71,0,0,0,2.56,0,5.86,0,0,1.83,0,1.49
 48-58,0,0,0,0,2.96,3.95,0,0,0.77,0.75,0,2.26,0,0,0.97,0,7.51
 60-70,0,0,0,0,0,5.91,0,0,0,0,0,2.81,0,0,0,0,1.48
 72-82,0,0,0,0,0.51,2.75,0,0,1.4,0,0,2.81,2,0,0,0,2.7
 84-94,0,0,0,0,0,1.06,1.03,1.7,0,3.61,0,5,0.59,0,1.03,0,0
 96-106,0,0,0.81,0,0,9.2,0.77,0,0,2.1,0,0,0,0,0,0,0.83
108-118,0,0,0,1.01,0.58,0,0,0,3.85,0,0,1.89,4.09,0,0,0.42,0
120,0,0,0,4.93,0,6.31,0,0,0,0,0,3.8,0,0,0,0,0
