stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.11,118.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,119.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0.81,0,0,0,0,0,0,0,0,0
 24-34,0,0,9.98,0,0,5.41,0,0,0,0.88,0,0,0,0,1.47,0,0,25.12,0,0,9.77,0,0.66,0.82,6.78,0,0,2.71
 36-46,0,0,4.51,0,0,0,2.25,1.3,0,0,0,0,0,0.87,5.18,0,0,15.4,3.36,0,20.93,13.4,0,0,2.7,1.02,0,1.52
 48-58,0,0,0,0,0,11.35,0,0,0,0.45,1.19,5.13,0,0,1.1,2.63,0,34.35,0,0,6.32,0,0,0,3.06,5.49,0,0
 60-70,0,0,10.75,2.47,0,8.69,0,0,1.47,9.09,0,0,0,0,20.4,0,8.34,65.57,0,0,7.9,0,0,0,10.84,0,0,0
 72-82,0,0,3.31,4.25,0,14.21,0,0,0,3.76,0,0,0.8,0,11.89,0,3.54,30.07,0,2.69,1.92,0,0,0,7.09,0,0.57,0
 84-94,0,0,1.01,0,0,1.7,0,0,0,0,0,0,0,0,2.03,0,0,9.67,0,0,0.64,0,0,0,0,0,0,0
 96-106,0,0,0.72,0,0,4.12,0,0,0,2.63,0,0,0.7,0,0.57,0,0,0,0,0,3.31,0,0,0,0,0,0,0
108-118,0,0,5.67,0,0,6.55,0,0,0,0,0,0,0,0,1.47,0,0,1.5,0,0,0,0,0,0,0,0,0,0
120,0,0,14.12,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,2.95,0,0,0,0,0,0,0
