stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,81.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,46.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,4.98,1.03,1.05,0,1.49,0,0,1.72,0,0,0,0,0,0.87,0,0,0,8.5,0,0,5.18,128.66,1.77,0,2.11,1.18,0,0,0.93,0,0,4.52,53.05,0,0,2.07,0,0
 24-34,0,1.05,0.83,1.3,1.27,0,3.68,0,1.04,5.37,0.66,1.08,0,0,0,0,0.78,0,0,4.31,0,0.89,5.97,225.31,0,0,1.98,0,0,0.6,0,0,0,0,41.87,0,0,9.02,0,0
 36-46,0,1.72,0,1.48,0,0,12.53,0,0,14.67,0.56,0,0.73,0,0,0,1.36,0,10.13,20.43,0,1.26,7.78,181.84,0.69,0,13.78,0,0,4.49,0,0,0,0,83.93,0,0,0.81,0,0
 48-58,0,0,0,3.69,0,0,11.78,0,0,19.06,0.64,0,0,0,0,0,0,0,0,29.96,0.4,0,4.88,132.83,2.33,0,0,0,0.53,15.17,0,0,0,0,33.81,0,0,1.31,0,0
 60-70,0,0,0,2.7,0,0,6.6,0,0,11.61,2.39,1.56,0,0,0,0,2.33,0,0,37.63,3.03,0,4.66,72.79,0,1.42,0,0,0,10.97,0,0.59,0.65,0,8.85,0,1.29,2.76,0,0
 72-82,0,0.69,0,1.84,0,0,22.78,1.11,0,13.73,0.55,1.02,0,0,0,0,4.64,0.62,0,42.55,0.77,2.43,6.15,23.67,0,1.03,0,0,0,15.6,0,0.57,0,0,2.09,0.81,0,4.75,1.74,0
 84-94,0,0,0,15.92,0,0,14.46,0,1.39,2.27,1.34,6.75,0,0,1.96,1.58,0,0.82,0,39.24,0.92,1.08,7.5,34.84,0.79,0,0,0,0,43.96,0,0,0,0,2.31,0,0,0.57,2.69,0
 96-106,0,0,0,4.57,0,0,12.06,0,0,3.08,1.59,0,0.62,0.94,0,1.8,5.62,0,0,20.62,1.13,0,0.78,23.58,1.87,0,1.93,0,0,13.44,0,0.89,0.7,0,0.66,0,2.06,1.86,1.31,0
108-118,0,0.93,0,10.13,0,2.49,11.96,0,0.42,7.49,0.62,0,0,0.64,0,0.53,0,0.89,0,44.4,1.05,0.71,4.74,13.89,2.26,0,1.21,0,0,10.48,0,0.78,0,0,0.87,0,0,8.97,0,7.81
120,0,0,0,16.53,0,1.6,12.38,0,0,7.84,1.08,0,3.83,0,0,2.63,1.88,0,0,24.19,0,0,12.33,24.41,0,0,4.53,0,0,20.76,0,0,0,0,0,3.81,3.14,11.45,0,0
