stage,endoderm,epidermis,eye,mesenchyme,neural
 14-21,0,2.02,0,1.85,0
 24-34,0,0.67,0,0.71,0.78
 60-70,0,0,2.04,0,0
 72-82,0,0,3.33,1.14,0
 84-94,1.04,0,0,0,0
