stage,blastomeres,eye,glial,gut,mesenchyme,mural_cell,neural,pgc,somites,spinal_cord
  3-4,13.03,0,0,0,0,0,0,0,0,0
  5-6,7.6,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.39,0,0,0
 14-21,0,0,0,0,0,0,1.65,0.9,0,2.84
 24-34,0,0.79,0,0,0,0,1.08,0,0.64,0.98
 36-46,0,0,0,0,0,0,5.24,0,0,3.93
 48-58,0,1.14,0,0,0,0,11.57,0,0,0.43
 60-70,0,1.61,0,0.75,0,0,12.23,0,0,0.77
 72-82,0,3.69,0,0,0.99,0,8.29,0,0,3.01
 84-94,0,5.82,0,0,0,0,3.01,0,0,0
 96-106,0,1.56,0,0,0.57,0,3.41,0,0,1.43
108-118,0,1.82,0,0,0.47,0.94,7.28,0,0,0
120,0,0,1.7,0,0,0,5.26,0,0,0
