stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.11,241.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.81,0,0,0,0,0,0
  5-6,13.06,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,13.85,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.07,0,0,0,0,0,0,0,0,30.95,0,0,0,0,0,0,0,0,0,0,87.31,0,0,11.05,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,5.03,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,10.31,0,0,1.98,0,3.22,11.65,0,0,0,0
 24-34,0,0,0,3.27,27.32,0,0,0,1.86,0,0,4.63,0,0,0,0,1.07,0,0,12.13,0,0,1.09,55.16,0.77,1,0,0,8.27,15.01,0,0,0,0
 36-46,0,0,0,1.29,78.76,0,0,11.29,2.88,0,1.5,7.35,0,1.79,0,0,0,2.72,0,4.61,0,0,0,36.07,0,4.01,0,0,8.47,6.92,0,0,3.49,0
 48-58,0,0,0,0,43.01,0,0,0.43,16.06,0,0,15.13,0,0.49,0,0,1.05,0,0,1.04,0,0,0,18.63,1.36,0.46,0,0.7,3.75,10.46,0,0,1.79,0
 60-70,0,0,1.51,0,70.53,0,0,0.58,9.6,0.84,4.19,29.8,0,11.11,0,0,1.27,3.3,0,7.2,0,1.58,0,42.21,0,0,0,0,9.13,14.47,0.92,0,1.58,0
 72-82,0,0,5.85,3.31,39.77,0,0,8.61,7.95,0,0.87,27,0,1.91,0.89,0,1.09,0.77,0,1.7,0,0,0,28.98,0,0.89,0,1.73,3.24,10.1,1.51,0,0,0
 84-94,0,0,5.77,0,87.87,0,0,3.22,21.69,0,1.26,59.9,0,3.97,0,0.62,0,1.85,0,11.81,0,0,0,34.57,0,1.19,0,0,6.66,7.94,1.42,0,2.74,0
 96-106,0,0,5.67,0.72,69.69,9.9,1.36,10.26,8.27,0,0.76,45.59,0,6.07,0.61,0,0,12.66,0.6,15.49,0,0,0,32.62,0,0,0,0,7.21,11.3,6.97,0,0,10.7
108-118,0,0,0.76,1.08,78.97,0,0.44,13.07,20.1,0,0.67,72.25,0,4.17,0,0,0,4.52,0,16.49,0.93,0,0,55.36,0,0,0,0,7.79,1.17,14.81,0,1.55,0
120,0,0,3.52,0,83.75,0,0,6.86,26,0,0,50.44,0,25.37,0,0,1.54,27.01,0,7.06,0,0,0,40.55,0,0,0,2.01,9.05,0,3.37,1.46,0,0
