stage,blastomeres,exocrine_pancreas,eye,fin_epithelia,heart,lateral_line,mesenchyme,neural,otic,periderm,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,7.54,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.04,0,0.6,0,0,1.46,0,0
 36-46,0,0,0,0,6.66,0,0,1.92,0,13.07,0,0
 48-58,0,0,0,0.74,9.04,0,0,0,0,0.53,0,0
 60-70,0,0,0,1.31,0,0,0.66,0,0,0,0,0
 72-82,0,0,0.55,0,0,0,0,2.07,0,0,0,0
 84-94,0,0,0,0,1.43,0,0,0,0,0,1.15,0
 96-106,0,0,0,0,1.1,0,0,3.77,0,0,0,2.48
108-118,0,0.58,0.64,0,4.17,0.84,0,2.07,1.09,0.47,0.57,0
120,0,0,0,0,4.85,0,0,0,0,0,0,1.59
