stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
 14-21,1.12,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0.97,0,0.85,2.85,0,0,0,0
 24-34,0,0,0.84,0,1.45,0.67,0,0,1.75,0,0,0,0,0.78,2.79,0,0.75,10.4,0,0,0,0,4.54,0,1.14,0,0
 36-46,0,0,0.58,0,0,0,0.73,0,0,0,0,0,0,0,1.24,1.94,0,11.38,0,0,0,0,2.38,0,0.61,0,0
 48-58,0,0,1.69,0.51,0,0.43,0,0,0,0,0,0,0,0.54,0.75,0,0,5.85,0.39,0,0,0,0.74,0,0,0,2.3
 60-70,0,0,3.05,0,0,0,0,0,0,0,0.71,3.41,1.57,11.55,5.9,0,0,5.4,0,0,4.7,0,2.31,0,0,0,0
 72-82,0,0,4.78,0,4.73,0,0,0,0,0,0,0,0.65,0,7.88,0,0,1.53,0,0,2.89,0,0,0,0,0,0
 84-94,0.9,0,4.47,0,0,0,0,0,0,1.56,0,0,0,8.09,20.49,0,2.2,24.02,0.61,0,0,0,3.86,0,0.74,0,0
 96-106,0.83,0,0,0,0,0,0,0,0,0,0,1.36,0,0,3.43,0,0,6.5,0,0,0,0,0,0,0,0,0
108-118,0,0,2.17,0,0,0,0,0.81,0.49,0,0,0,0,0,16.84,0,0,6.48,0,0,0,0,0,3.02,0,0,0.74
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,59.88,0,0,0,0,3.82,0,0,4.47,0
