stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0
  5-6,9.23,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.12,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,0,0,0
 14-21,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.12,0,0,0,0,0,0,0,0.65,0,0,0.9,0,0,29.7,0,0,1.66,0,0,0,7.94,0,0,0,0
 36-46,0,0,0,8.43,0,0,0.56,0,0,0,0,0,0,0,0,0,0,69.66,0,0,0,0,0,0,16.41,0,0,0,0
 48-58,0,0,0,2.45,0,0,14.77,0,0.99,0,0,0,0,5.01,0.76,0,0,176.5,0,0,0,0,0,0,34.06,0,0,0,0
 60-70,0,0,0,4.56,0,0,138.51,0,5.68,0,0,0.93,0,0,2.87,0,0,405.6,0,0,0,0,0.71,0,74.7,0,4.17,0,5.92
 72-82,0,0,0,1.68,0,0,608.11,0,4.65,0,1.86,1.11,0,0,5.29,0,0,600.06,0,0,0,0,0.72,0,66.99,0,0,0,0
 84-94,0,0,0,3.24,0.79,0,551.75,0,20.75,0,1.11,0,0,0,6.47,0,0.71,443.41,0,0,0,0,2.32,0,75.24,1.87,0,0,0
 96-106,0,0,0,3.25,0,1.05,875.79,0,22.4,1.61,0.94,0,0.84,0,6.28,1.87,1.57,433.5,0,0,0,0,1.28,1.41,17.91,0,1.77,0,2.32
108-118,0,0,0,2.38,2,0,879.89,0.48,11.76,0,0,0.59,0,1.51,10.25,0,0,532.92,0.46,0,7.39,0,2.71,0.47,20.6,1.09,0,3.77,0
120,0,0,0,5.73,1.21,0,526.01,0,54.43,1.85,5.69,1.25,0,9.22,29.57,0,0,1029.61,0,3.06,0,0,0,11.81,48.45,0,0,0,0
