stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.92,0,0,0,4.63,0,0,0,0,0,0,0,0
 10-12,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,1.13,4.41,0,0,0,0,0,0,0,0,0,0,2.57,0,0,0,5.77,0,0,0,0,0,0,1.19,2.24,0,0,0,0
 24-34,0,0,0,0,0,19.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1.1,0,0,0,0,0.94,0,0,0,0
 36-46,0,0,0,0.61,0,140.75,0,1.23,0,0,0,0,0,0,0,0,0.61,0,0,0,49.9,0,0,0,0,0,0,0,8.58,0,0,0,0
 48-58,0,0,0,2.97,0,1268.49,0,0,3.48,0,0,0,0.39,0,0,0,11.5,0,0,0.4,101,0,0,1.36,0,0,0.59,0,5.97,0,0,0.37,0
 60-70,0,0,0,6.08,0,4115.83,0,0,15.26,0,0,0,0,0,0,0,5.23,0,0,0.59,114.04,4.6,3.02,0,0,0,0,0,16.41,0,0,2.46,4.46
 72-82,0,1.12,0,11.63,9.82,4140.9,0,2.34,36.53,5.1,0.67,0,0,0,1.33,4.33,9.88,0,0.72,1.87,115.44,0.58,0,3.05,0,0.87,2.97,0,7.28,1.07,0,1.15,0
 84-94,0,0,0,12.44,0.56,3011.12,0.76,1.21,14.22,0.98,0,4.18,0,0.62,0,0,9.18,2.96,3,1.73,48.47,0.62,0,0.82,0,0,0.75,0,9.75,1.17,1.08,1.04,0.87
 96-106,0,0,0,1.24,0,1991.34,1.53,4.3,16.44,0,0,1.22,0,2.9,0,0,6.66,0,0,0,47.31,0,1.43,0,0,0,4.63,0,7.79,0,0,0.96,0
108-118,0,0,0.74,1.81,1.53,1448.47,0,1.48,14.01,0,0,0,0.51,0,0,0,13.04,0,0,0.59,76.17,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.25,1.46,1249.33,0,0,15.05,0,0,0,0,0,0,10.16,1.7,0,0,0,101.06,0,10.3,0,0,0,3.6,0,4.02,0,0,1.46,6.17
