stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord,taste,vasculature
  3-4,37.96,998.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.56,0,0,0,0
  5-6,0,296.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0
  7-9,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93,0,0,0,0,5.33,0,0,0
 14-21,0,0,0,0,0,0.98,0.87,0,0,0,0,0,0,0,0,0,20.29,0,0,1.89,0,0,1.75,0,0
 24-34,0,0,0,3.06,0,0.81,0,0,0,0,0,0,0,0,0,0,109.98,0.75,0,0.69,0,0,17.13,0,0
 36-46,0,0,0,0,0,6.31,0,0,3.25,0,0,0,2.81,0,0,0,93.87,0,0,0.78,0.65,0,16.28,0,0
 48-58,0,0,0,0.45,0,11.78,0,0,1.96,0,0,0.88,2.26,0,0,3.85,179.22,0,0,0,0,0,13.69,0,0
 60-70,0,0,0,0.6,0,28.87,0,0,0.67,0,0.56,1.02,0.84,0,0,0,360.95,0,0,2.05,0.68,0,23.59,0,0.73
 72-82,0,0,0,0,0,38.06,0,0,11.5,0,0,0,3.59,0,1.13,0,540.39,0,0,0.54,0,0,14.79,0,1.68
 84-94,0,0,0,0,0,32.79,0,0,11.85,0,1.17,0,4.5,0,0,0,354.28,0,1.46,2.29,2.1,0,23.41,0,0
 96-106,0,0,0,0,0,20.74,0,0.74,3.13,1.49,0.78,0,6.69,2.72,0.92,0,341.62,0,0,0,0,0,4.42,1.44,1.76
108-118,0,0,0,3.04,0.76,17.58,0,0,5.16,0.47,0.76,1.58,3.75,0,0,1.87,272.97,0,0,9.75,0,0,3.4,0,1.71
120,0,0,0,4.63,0,28.67,0,0,0,0,0,0,24.98,0,0,3.76,351.42,0,0,9.38,0,0,3.65,0,0
