stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,161.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,99.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48,8.38,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,0,10.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.96,0,3.28,0,0,0,1.23,0,1.1,0,0,0,0,0,15.16,0,0,15.39,55.29,0.92,0,0,0,11.77,3.01,4.18,18.41,50.66,20.4,0,0,0,0,0
 24-34,0,0,0,1.34,7.1,0,22.9,0,2.25,0.76,17.57,0,1.06,0,3.31,0.74,0,0,43.29,0,0,24.5,124.52,0.71,0.79,0.66,0,43.31,0,14.15,2.7,10.95,31.04,0,0,9.08,0,0
 36-46,0,0,0,0,0.63,0,26.09,10.3,0.62,0.82,33.89,0.65,2.22,0,3.21,0.57,0,0,45.87,0,0,10.06,92.16,0.72,1.17,0.66,0,51.19,0,12.68,0,0.74,25.52,0,0,24.1,0,3.31
 48-58,0,1.29,0,0,14.4,3.01,61.89,4.83,4.23,0,77.92,0.38,1.13,0,2.86,0,4.43,0,31.56,0,0.51,6.33,61.46,4.54,2.66,0,0,22.76,0,7.25,3.05,0,57.78,0,0,11.31,0.78,0
 60-70,0,0,0,0,5.28,0,130.44,1.31,0,0,175.68,1.64,0,4.72,4.4,0,0,0,63.68,1.53,1.73,2.42,105.5,2.27,0,0,0,35.37,0,4.83,2.31,0,37.67,0,0,14.17,0,0
 72-82,0,0,0,0,2.57,1.96,223.73,8.32,0,5.27,279.45,3.93,0,0,4.07,0,0,0,90,0,0.81,7.37,81.16,1.67,1.01,0,0,17.75,0,4.26,3.02,0,52.89,0,2.26,21.91,2.06,2.27
 84-94,0,0,1.42,0,3.09,0,171.43,2.63,1.48,0.59,304.41,2.34,0,5.97,2.17,0.66,0,0,51.66,0,2.25,11.09,47.56,3.46,1.84,1.22,0,29.04,0,25.61,0.69,0,30.4,2.7,0,11.58,0.63,0
 96-106,0,0,2.46,0,8.87,2.08,220.09,9.74,0.81,2.3,319.28,14.51,1.24,1.29,2,2.42,0,0,84.17,0,1.43,6.32,63.33,0,5.42,3.27,0,20.68,0,15.19,2.87,0,30.48,1.2,0,35.1,0.67,0
108-118,0,0,0,0,12.24,0.66,242.27,5.01,3.28,0,320.67,12.42,0,3.16,5.53,2.11,0.51,1.75,82.75,1.8,2.37,16.45,81.89,2.05,1.88,5.1,0,27.56,0,20.8,2.67,0,37.09,4.25,0,32.51,2.83,0
120,0,0,0,0,21.7,0,182.01,5.41,5.49,0,485.62,11.87,0,0,8.62,1.69,1.47,0,28.19,0,0,21.66,67.3,1.18,1.99,4.43,0,27.79,0,23.68,4.38,0,11.96,1.09,0,27.53,9.29,14.33
