stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
  5-6,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,0,0,0,0,0,0
 24-34,0,0,0,0,1.96,0,0,1.87,0,0,0,0,0,3.46,0,0,0,0,0,0
 36-46,0,0,0.66,0,2.95,0,0,3.19,0,0,0,0.88,0,4.33,0.58,0,0,0,0,0
 48-58,0,0,0.37,0,14.03,0,0,0.4,0,0,0,0,0,2,0,0,0,0,0.88,0
 60-70,0,0,0.61,0,252.49,0,1.56,0.57,0,0,0,0.72,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,404.3,0.58,2.53,0,0,0,0,1.24,0,5.47,0,0,0,0.64,0,1.4
 84-94,0,0,1.92,0,443.59,0,5.39,5.83,0,0,0,3.27,0,24.83,0,0,2.07,0,0,0
 96-106,0,0,3.12,4.72,465.64,1.51,5.99,2.48,0.81,0,1.56,2.53,2.43,10.48,0,1,0,0,0,0
108-118,0,0,10.71,0,549.16,0,0.87,7.71,0,2.31,0.46,0,0,16.95,0,0,3.94,0,0,0
120,0,3.17,0,0,345.55,0,0,0,0,0,0,17.53,0,23.03,0,0,0,0,0,0
