stage,blastomeres,eye,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.76,0,0,3.94,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.98,1.43,0,4.75,0,0,0,0,0,0,0,0
 36-46,0,0.83,0,0,0,0,3.07,2.97,0,16.14,0.8,0,0,0,1.04,0,0,0
 48-58,0,10.41,0,0,0.66,0,0,3.72,0,8.38,0,0.62,0,0,5.62,0,1.34,0
 60-70,0,1.71,0,0,0,0,0,12.36,0,9.18,0,0,0,0,0,0,0,0
 72-82,0,0.72,0.9,6.48,0,0,0,13.49,0,7.51,0,0,0,4.35,0,0,6.55,8.95
 84-94,0,0.96,0,7.65,0,0,0,8.17,7.05,5.41,0,0,0,0,0.91,0,0,0
 96-106,0,1.44,5.84,4.09,1.9,8.05,0,8.96,0,1.41,0,0,0,0,0,0,0,0
108-118,0,0,0,4.81,2.95,1.92,0,8.51,1.72,10.61,0,0,0,0,0,3.84,0,0
120,0,0,0,2,0,31.06,0,2.03,0,38.59,0,0,0,0,0,0,19.76,0
