stage,blastomeres,epidermis,eye,glial,gut,ionocyte,liver,mesenchyme,neural,periderm,somites,spinal_cord,taste
  5-6,18.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.35,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.7,0.6,0
 36-46,0,0,0,0,0,0,0,1.44,0,0,0,0,0
 48-58,0,0,1.98,0,0,0,0,0,0.44,0,0,0,0
 60-70,0,0,0,5.63,0.57,0,0,0,0,0,0,0,0
 72-82,0,0,1.99,0,0,0,0,0,4.36,1.29,0,0,0.92
 84-94,0,0,0.9,0.94,1.16,0,0,0,3.32,0,0,0,8.7
 96-106,0,0.71,0,0,2.7,0,0,0,1.63,0,0,0,6.19
108-118,0,5.34,1.23,0,7.36,0.83,2.21,0,1.74,0,0,0,17.65
120,0,0,0,0,23.65,0,0,0,19.33,0,0,0,25.86
