stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.56,0,0,0
  5-6,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.95,0,0,0,0,0,0,0,0,0,7.29,0,0,7.8,0,0,0,0
 10-12,0,0,5.52,0,0,5.57,0,0,0,0,8.09,5.72,0,19.1,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,1.63,3.27,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,3.7,0
 36-46,0,0,0,0,0,1.65,0.92,0,0,0.63,6.64,0,0,0,0,0,3.4,0
 48-58,0,0,0,0,0,3.33,0,0,0,1.84,11.33,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.68,3.44,0,0.72,0,0,0,6.3,0
 72-82,0,0,0,2.18,0,3.25,2.87,0,0,0.94,7.71,0,0,0,0,0,1.55,0
 84-94,0,0,0,0,0,0,0,0.94,0,3.53,7.39,0,1.79,0,0,0,0.75,0
 96-106,0,0,0,0,0,0,1.12,0,0,0,6.46,0,0,0,0,0,0,1.88
108-118,0,3.2,0,0.74,0.93,0,1.29,0,0.53,0,4.28,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.1,11.49,0,0,0,0,0,0,0
