stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,0,0,4.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.75,3.99,0,0,7.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.07,0,0,0,0,0,2.06,0,0,0,0,0,0,34.73,4.1,0,0,0,0,0
 24-34,3.37,3.65,0,0,0,0.81,0,0,0,1.02,0,0,0,0.63,0,56.63,0,1.12,0,0,1.38,22.1,0,0,0.74,0,0,0,105.48,11.55,0,0,0,0,0
 36-46,5.18,0,0,0,0,0.68,0,0,0,1.64,0,0,0,0,0,6.75,0,1.64,0,0,0,26.23,0,0,0,0,0,0,23.98,8.96,0,0,0,0,0
 48-58,5.96,0,0,0,0,8.72,0,0,0,1.1,0,0,0,0,0,6.48,0,2.01,0,0,0,32.03,0,1.16,0,0,0,0,27.81,2.49,0,0,0,0,0
 60-70,6.76,0,0,0,0,32.14,0,0,0,0.8,2.53,0,0,0,0,7.43,0,0,0,0.6,0,12.28,0,0,0,0,2.07,0,25.81,2.32,0,0,0,0,0
 72-82,18.62,0,0,0,1.86,12,0,0,0,0,17.45,0,0,0,0,52.34,0,3.68,0,0,0,36.63,0,0,0.49,0,0,0.96,85.96,2.93,0,0,0,0,0
 84-94,4.03,0,0.71,10.47,4.77,11.67,0,0,0,2.1,31.77,0,0,0,0.6,150.94,0,2.1,0,0,0,23.56,1.16,0,0,0,0,0,148.7,4.15,0,0,0,0,0
 96-106,26.88,0,6.52,4.6,8.16,34.64,0.57,1.7,1.72,4.08,69.41,4.79,0.74,0.71,1.16,392.97,0,8.19,3.86,0,0,80,0,0,0,0,0,5.75,155.41,3.81,0,1.74,0,0,0
108-118,22.45,0,3.03,0.74,56.28,25.06,0,0,0,2.25,92.42,0,1.13,0,1.23,855.35,0.76,4.13,2.77,0.45,0,65.41,0,0.84,0.84,8.11,0,1.06,186.53,3.18,0,0,0.83,0,5.62
120,17.86,0,0,0,36.77,0,0,0,0,5.74,136.74,0,1.31,0,0,512.1,0,10.92,0,0,0,71.53,0,0,0,0,0,2.73,150.19,0,2.25,0,6.37,21.88,0
