stage,epidermis,eye,fin_epithelia,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal_cord,vasculature,xanthophores
 14-21,1.06,0,0,0,0,0,0,0,0,0,1.95,0,0,1.79,0,0
 24-34,4.56,0.71,0,0,0,1.69,0,0,0,0,3.75,3.3,10.51,6.58,0,0
 36-46,2.9,2.77,0,0,0,0,0,0,0,0,6.38,1.02,13.51,9.16,0,0
 48-58,0,6.64,0,0,0,0,0,0,0,0,8.92,0.5,6.98,2.97,1.88,4.45
 60-70,1.73,7.62,0,0.86,0,0.63,0,0,2.96,2.63,17.86,10.92,0.74,16.69,0,0
 72-82,0.56,5.02,0,0.53,0,0.56,0,0,0.63,0,31,5.65,1.41,8.09,0,0
 84-94,6.17,17.21,0,0.67,0,0.83,0,0,0,0,35.92,6.31,0.72,0.99,0,0
 96-106,6.86,4.07,1.83,3.22,0,0,0,1.54,0,0,22.88,1.32,2.8,0.57,0,0
108-118,1.8,5.74,0.46,2.07,1.52,2.56,0.44,0,1.3,0,61.95,1.18,1.02,4.81,0,0
120,5.69,4.78,0,23.47,0,11.31,0,9.76,0,0,105.99,2.82,0,0,0,0
