stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
  7-9,17.48,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07,4.03,0,0,22.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.27,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.98,0,0,0,3.81,3.1,0,9.53,0,0,0,0,0,0
 14-21,0,0,0,6.43,2.1,0,0,0,0.89,0,1.02,0,0,0,0,0,0,2.79,0,0,23.58,0,1.04,0,0.82,1.86,1.71,1,0,0.86,6.35,0,0,0
 24-34,0,0,1.85,1.34,0,6.82,0,0,0.89,0,0,0,1.21,0,0.73,3.48,0,0.61,2.72,1.02,88.6,0,8.1,0.88,0,5.77,0,0,2.12,0,9.29,0,5.54,0
 36-46,0,0,0,11.15,0.57,10.34,1.4,0,2.21,0,0,0,0,0.61,0.56,0,0,11.86,0,2.3,157.03,0,14.16,3.48,0,5.95,0,0,0.56,0,30.69,0,0.6,0
 48-58,0,0,0,0.42,0,15.74,0.52,0.81,7.76,0,0.57,0,0.52,0,1.54,2.39,0,2.3,0,0,96.51,0,5.93,0.59,0,2.36,0,0.61,0,0,15.78,0,0.6,0
 60-70,0,0,0,6.84,0.57,20.94,0,0,8.15,0.65,0,0.67,0,0,0,0,0,6.97,0.84,0,130.18,0,3.31,4.68,0,4.35,0,0,0,0,10.8,0,0,0
 72-82,0,0,0,0.68,0,3.69,0,0,0,0,0.89,0,0,0,1.54,0,0,0,0,0,23.93,0,8.96,5.23,0,0.7,0,0,0,0,9.9,0,0,0
 84-94,0,0,0,0.68,0,19.58,0.99,0,0,0,3.93,3.14,0.71,0.65,2.28,0,0,1.22,0,0,85.11,0,2.14,1.81,0,11.57,0,0,0,0,18.79,0,0,0
 96-106,0,0,0,2.9,0,16.95,0,0,4.44,0,0,0,0.61,0,1.55,0,0,3.2,0,0.93,53.66,0,3.76,5.92,0,10.88,0,0,0,0,6.18,1.89,1.38,0
108-118,0,0,0,1.82,0,4.47,0.57,0,4.84,1.77,0,0,0,0,0.45,1.19,4.99,0,0,0,46.99,0,1.49,0.42,0,5.45,0,0,0,0,5.38,0,0.53,0
120,0,0,0,17.4,0,5.11,0,0,0,1.33,0,0,0,0,0,0,0,4.29,0,0,39.25,0,15.19,0,0,9.77,0,0,0,0,8.69,0,0,3.77
