stage,blastomeres,endoderm,epidermis,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal_cord
  3-4,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.47,0,0,0,0,0,0,0,6.48,0,0,0,0,0
 14-21,0,0,0,0,0,0.87,0,0,0,2.51,0,0,0,0.81,0
 24-34,0,0,0.61,0,0,0,0,0,2.76,3.17,0,3.22,0.81,0,0
 36-46,0,0,0,0,0,0,4.54,0.56,0.9,1.48,0,0,0,0,1.55
 48-58,0,0,0,0.99,0.45,0,0,0,1.56,0.91,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.84,0,0,4.69,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.6,1.23,0,0,8.48,0,0,0,0
108-118,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0
