stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,immune,liver,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord
 14-21,0,0,0,0.85,0,0,0,0,1.6,0,2.11,0,0,2.02,0
 24-34,0.6,0,0,0,0,0,0,0.67,0,0,5.44,0,0.65,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.3,21.93,0,0,0,1.56
 48-58,0,0,0,1.79,0,2.11,0,0,0.38,0,5.43,0,0,0,5.54
 60-70,0,0,0,1.54,0,0,0,1.34,0,0,5.67,0,0,0,0
 72-82,0,0,0,7.46,0,0,0,0,0.92,0,1.63,0,0,0,0
 84-94,0,0.65,0,1.48,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.8,0.65,0,0,0,0,0,0,0,0.7,0,0,0
108-118,0,0,0,0.88,0.78,0,0.64,0,0,0,0,0,0,0,0
120,0,0,1.71,18.96,0,0,0,0,0,0,19.16,5.73,0,0,0
