stage,blastomeres,endoderm,eye,mesenchyme,neural,presomitic_mesoderm,spinal_cord
  3-4,19.68,0,0,0,0,0,0
 10-12,0,0,9.69,0,16.97,0,0
 14-21,0,0.87,0,0,5.34,1.76,2.14
 24-34,0,0,0,0,1.06,0,0
 36-46,0,0,0.73,0,3.83,0,0
 48-58,0,0,0.48,0,0.56,0,0
 60-70,0,0,0,0.65,1.62,0,0
108-118,0,0,0,1.67,0,0,0
120,0,0,0,1.46,0,0,0
