stage,axial,blastomeres,endoderm,hatching_gland,neural,paraxial_mesoderm,periderm
  3-4,58.37,1249.52,0,0,0,0,56.04
  5-6,49.34,479.09,0,0,17.98,13.13,6.16
  7-9,0,0,5.46,4.31,74.52,15.92,0
