stage,axial,blastomeres,mesenchyme,neural,notochord,olfactory,periderm
  3-4,18.51,11.44,0,0,0,0,0
  7-9,0,0,0,8.77,7.34,0,0
 10-12,0,0,0,3.53,0,0,0
 48-58,0,0,0,1.06,0,0.8,0
 84-94,0,0,0.9,0.63,0,0,0
 96-106,0,0,0,0,0,4.06,0
108-118,0,0,0,0,0,1.94,0
120,0,0,0,0,0,3.36,1.38
