stage,glial,muscle,neural,spinal_cord
 14-21,0,1.19,0,0
 24-34,0,0,2.92,2.76
 36-46,0,0,1.13,0
 48-58,0,0,0,0.71
 96-106,1.25,0,1.09,0
108-118,0,0,1.98,0
