stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,38.45,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,2.94,0,2.29,0,0,0,55.4,0,4.1,0,0,0,0,18.26,0,0,0,0,0
 24-34,0,0,0,0,142.74,0,0,8.7,0,20.09,0,0,1.08,0,0,1.43,0,0,0,0.61,0,12.1,1.46,0,0.6,800.92,0,32.82,2.72,0,1.64,0,204.2,0,0,0,0,7.59
 36-46,0,0,0,0,197.02,0,0,19.2,0,28.94,1.66,13.99,0,0,0,0,16.1,1.12,0,0,0,34.38,0.65,0,1.28,1994.36,0,18.76,9.02,0,7.32,0,420.04,0,0,0,0,9.37
 48-58,0,0,0,0,126.32,0,0,298.6,0,20.8,1.07,94.98,0,0,0,1.02,0,9.5,0.47,5.47,1.28,59.5,2.2,9.68,4.12,4104.69,1.15,7.59,15.02,0,5.15,0.52,637.89,0,0,0.41,0,8.96
 60-70,0,0,0,0,155.96,6.8,0,831.29,0,41.1,0,256.89,0,0.66,1.59,0,9.74,23.86,5.19,0,0,93.63,1.41,0,0,5969.24,1.5,6.19,35.4,0,12.15,0,920.93,0,0,8.19,0,5.74
 72-82,0,0,1.28,0,116.48,1.34,0,980.44,0,27.52,1.89,501.9,0.51,0,0,2.36,14.05,12.78,5.46,4.02,0,167.8,1.32,3.82,10.19,6069.15,0,10.42,56.17,0,0.56,0,1230.94,2.45,1.95,1.84,1.35,0
 84-94,0,0,0,0,219.79,1.3,0,817.34,0,36.51,1.43,474.81,0,0,0,0.84,22.65,4.77,3.42,0,0,192.17,0,19.13,2.34,4111.94,0,12.19,31.8,0,4.77,0,570.51,2.32,4.81,1.5,0.63,0
 96-106,0,0,0,0,161.45,20.32,0,552.88,0,20.27,1.28,471.27,0,0,1.02,5.39,44.08,6.06,8.31,11.06,0,119.41,0,5.26,3.16,3246.19,0.62,14.06,52.25,1.44,4.06,1.25,247.87,5.46,0.88,6.09,3.49,6.26
108-118,0.66,0,0,1.1,182.05,3.37,0.45,591.93,1,42.41,0.65,370.64,5.9,0,0,3.12,32.94,4.16,5.19,1.88,0,127.36,0.88,0.83,3.15,3060.92,0.62,8.93,65.08,1.49,11.02,0,237.55,3.64,1.23,0.42,4.95,0
120,0,0,8.73,1.28,215.05,1.27,2.12,748.23,0,54.82,0,475.88,5.71,0,0,10.79,15.65,1.18,6.02,0,0,135.03,3.31,2.75,3.94,4973.56,7.51,31.39,90.36,0,1.88,0,303.42,0,0,6.45,0,13.4
