stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.85,934.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.76,1483.05,0,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0,0,0,0,96.15,0,0,0,34.49,24.37,0,0,0,0,0,0,0,0,0
  7-9,13.72,30.43,40.83,0,0,82.46,0,0,0,0,27.01,0,0,0,0,0,0,0,0,0,764.91,15.51,0,0,256.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.39,0,0,0,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.36,21.64,0,0,142.53,0,0,18.31,0,0,0,0,0,0,0
 14-21,0,0,0.91,3.88,2.75,7.77,0,0,0,0.82,0,0,0,0,0,0,0,4.5,0,4.43,115.14,2.87,1.03,0.86,0,0,13.65,0.91,1.26,7.92,38.84,0,0,0,1.85
 24-34,0,0,0.64,2.56,0,9.57,0.72,0,4.98,0,0,0,0,0,0,0,0,10.23,0,3.29,137.66,0,0,0.68,0,0,0,0.85,0,3.89,18.7,0,2.92,0,1.01
 36-46,0,0,0,1.27,0,16.19,0,0,4.73,0,0,0,0,0,0,0,0,12.28,0.77,2.13,87.35,1.32,2.78,3.44,0,0.78,0,0,0,0,24.59,0,0,0,0
 48-58,0,0,0,0.4,0.45,15.73,0,0,6.99,0.43,0,0,0,0,0,1.3,0,5.5,1.18,3.66,22.58,0,1.15,0,0,0,0,0.46,0,0,18.1,0,0.44,0,0
 60-70,0,0,0,0,0,12.36,0,0,7.93,0,0,0,0,0,0,0,0,14.62,0,0.81,13.63,0,0,0,0,0,0,0,0,0,1.95,1.19,1.15,0,0
 72-82,0,0,0,0.67,0,4.21,0,0,4.23,1.45,0,0.58,0,0,0,0,0,13.31,0,0.74,23.72,0.73,1.21,0,0,1.48,0,0,0,0,0,0,0.72,0,0
 84-94,0,0,0,0,0,5.25,0,1.75,0.57,0.73,0,0,2.63,1.29,0,0,0,10.28,0,0.7,6.3,0,0,0,0,1.34,0,0,0,0,0.83,0,1.4,0,0
 96-106,0,0,0,0,0,18.34,0,0,5.1,1.03,0,0.66,0,0,0,0,0.69,7.75,0,0,7.58,0,0,0.86,0,0.65,0,0,0,0,0,0,1.01,1,0
108-118,0,0,0,6.07,0,6.56,0,0.5,2.98,0,0,0,0,0,0,0,0,13.35,0,0.57,11.21,0,0,0,0,0,0,0,0,0,2.16,0,0,0.5,1.5
120,0,0,0,0,0,0,0,0,5.98,0,0,0,4.33,2.88,2.6,0,0,9.53,3.46,1.11,17.02,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
