stage,axial,blastomeres,endoderm,epidermis,eye,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,0,72.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.67,133.82,0,0,0,0,0,0,0,0,6.35,0,9.5,7.54,0,0,0
  7-9,0,13.71,22.8,0,0,0,0,0,0,0,62.27,0,43.26,0,0,0,0
 10-12,0,0,12.21,0,6.63,0,0,0,0,0,30.67,0,6.85,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,1.07,0,0,0,0,0.85,0
 24-34,0,0,0,0,0,0,0,0,0,0.7,1.56,0,0,0,1.89,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0.91,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.17,0.91,0,0,1.11,0,0
 60-70,0,0,0,0,5.64,6.66,0,0,0,0,0,0,0,0,5.73,0,0
 72-82,0,0,0,0,0,2.37,0,1.29,0,0,1.92,0,0,0,0,2.87,0
 84-94,0,0,0,0,0,2.32,0.73,0,0,0,0,0,0,0,2.08,0,0
 96-106,0,0,0,0.83,0,0.86,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0,0.51,0.41,2.94,0,6.07,0,0.86,2.24,0,0,0,1.04,0,0
120,0,0,0,0,7.38,1.23,0,0,0,0,7.62,0,0,0,6.15,0,2.24
