stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.04,638.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.61,0,0,0,0,0,0,0,0,0,0
  5-6,67.73,1045.42,0,9.08,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,21.88,0,0,0,19.69,0,43.9,0,0,0,0,0,0,0,0,0,0
  7-9,25.23,51.33,0,26.33,0,0,52.55,0,0,0,0,29.72,0,0,0,0,0,0,0,0,0,0,0,582.88,9.85,0,0,208.71,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.06,0,5.98,0,0,29.67,0,0,0,0,12.85,0,0,0,0,0,0,0,0,0,0,0,428.23,26.15,0,0,129.68,0,0,5.62,0,26.59,0,4.93,0,0,0,0,0
 14-21,0,0,0,1.1,16.82,8.28,8.24,0,0,4.94,0,0,0,0,1.58,0,0,0,0,7.43,0,0,18.16,201.04,2.9,0,1.71,4.28,0,2.22,2.55,28.42,1.08,1.33,20.79,62.87,0,3.54,0,0.84
 24-34,0,0,0.71,0,2.57,0,15.02,0,1.06,1.99,0.71,0,0.8,5.27,0,0,0,0.76,0,14.4,0,0,5.78,340.44,0,3.92,3.24,0,1.14,4.57,0,0,0,0,2.67,51.4,0,4.85,0,0
 36-46,0,0,0,0,0.86,0,49.87,5.35,2.27,3.4,0,0,1.32,0,0,0,0,0,7,26.34,0,0,7.78,436.72,0,2.01,1.17,0,0,0.66,0,0,6.73,0,0,84.05,0,5.61,0,1.22
 48-58,0,0,0.54,0,1.22,0,79.02,0,0.53,12.84,0,0,0.89,0,0,0.92,0,0,0,23.1,0.71,1.15,6.53,349.87,0,0,0.4,0,0,2.74,0,0,0,0,0,91.56,0,1.22,0,0
 60-70,0.81,0,0,0,0.77,0,59.41,0,0.6,14.75,0,0,0,0,0,0,0,0,0,26.8,0,0,1.53,220.86,0,0,0,0,0,0,0,0,0,0,0,24.03,0,0,0,0
 72-82,0,0,0,0,0,6.28,39.36,0,0,11.44,0,0,0.74,0.59,0,2.83,0.6,1.65,0,18.65,0,1.1,1.55,143.61,0,0,5.54,0,0,0.7,0,0,0.53,0,0,27.26,0.51,0.72,0.75,0
 84-94,0,0,0,0,1.46,0,34.33,0,0,6.67,0.59,0,0,5.29,0,0,0,0,0,20.54,0,0,3.57,238.93,0,0.56,3.06,0,0,0,0,0,0,0,0,33.92,1.6,9.38,0,0
 96-106,0,0,0,0,7.85,0.87,40.83,0,3.32,5.87,0,0,1.57,2.1,0.77,0.58,0.84,0,0,25.19,0,0,1.48,160.12,0.77,5.08,0.57,0,0,3.06,0,0,0,0,0,18.32,0,1.94,0,0
108-118,0,0,0,0,1.89,0,41.24,1.13,0,3.38,0.87,0,0.51,0,0,0.53,0.89,0,0,27.64,0,3.02,4.65,164.55,0.54,1.33,2.44,0,2.89,0,0,0,0,0,0,6.03,1.1,0,0,0
120,0,0,0,0,0,3.37,20.34,6.38,0,17.11,0,0,3.65,2.71,0,1.17,0,0,0,10.35,0,0,4.49,406.45,0,1.77,0,0,0,2.38,0,0,0,0,0,1.7,0,1.1,0,0
