stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.8,0,0,1.19,0,0,0,0,0,0,0,0.88,0,0,0,17.42,0,0,0,0,0,3.38,9.57,0.95,0,0
 24-34,0,0.65,0,7.74,0,0,0,0,0,0,0,2.31,0,0,1.65,52.35,1.23,1.64,0,0,0,0,11.96,3.23,0,0
 36-46,0,1.77,0,4,0.57,4.39,0,0,0,0,0,2.94,0,0,1.64,39.71,0,0,0,0.78,3.44,0,12.6,8.35,0,0
 48-58,0,1.62,0,7.6,0.77,1.09,0,0,0,0,0,6.42,0.4,0,1.72,76.87,0,0,0.39,0,0,0,25.48,3.09,0,0
 60-70,0,8.18,0,60.8,0.81,4.01,0.92,0,0.58,3.59,0,7.61,0,0,0,49.22,0,0,8.4,3.02,0.97,0,4.01,0,0,0
 72-82,0,0,0.84,174.06,0,4.62,0.73,0,0,0,0,6.79,0,0,0.64,79.47,0,0,0,0,0,0,10.66,0,0,3.06
 84-94,0,1.79,0,170.96,0,0,0,0,2.28,0,0,7.88,0,0,0,53.13,0,0,0,1.5,0,0,3.85,2.73,0,0
 96-106,0,1.67,8.46,195.67,0,15.56,0,0,0,0,0,17.78,0.69,1.37,0,76.48,0,0,2.29,3.51,0,0,0,0,0,0
108-118,0,3.66,0,141.15,0,3.78,0,1.14,0.54,0,0.54,16.55,0,4.08,2.05,41.3,0,0,1.65,1.1,1.07,0,4.47,0,0,0
120,0,2.78,0,365.29,0,0,0,1.01,0,0,0,23.63,0,0,0,128.65,0,0,0,0,0,0,0,0,2.01,0
