stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.53,366.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,0
  5-6,8.32,934.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,12.44,0,9.26,0,0,0,0,0,0,0,0,0,0
  7-9,8.23,16.09,0,3.44,0,0,30.06,0,0,0,0,9.16,0,0,0,0,0,0,0,0,0,0,0,814.1,8.47,0,0,192.12,0,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,9.35,0,9.06,0,0,45.27,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,536.48,42.29,0,0,150.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.67,30.33,5.12,23.12,0,0,6.52,0.99,0,0,0,0,0,0,0,0,23.34,0,0,24.89,327.68,7.8,3,8.3,6.73,0,0,0,53.23,0,37.5,69.91,0,0,0,0,0
 24-34,0,0,0,0.86,11.71,0,30.18,1.58,0,2.28,1.95,0,0,0,0.65,0.92,0.63,0,0.62,33.89,0,0,16.25,330.05,1.47,3.98,1.36,0,0,8.4,0,2.17,12.93,8.97,67.12,0,0,8.02,0,0
 36-46,0,0,0,0.56,2.54,0,42.83,0,1.98,8.09,0,0,3.71,0,0,0,0.75,1.14,0,24.74,7.36,0.98,10.96,298.57,0,4.63,0,0,0,3.84,0,0,0.81,1.18,52.65,0,0,10.41,0,0
 48-58,0,0,0,0,2.34,0,47.38,0.4,2.43,9.38,0,0,0,1.63,0,0.46,1.25,4.26,6.85,18.24,0,0,5.12,265.89,0.45,1.42,0,0,0,6.56,0,0,0,0,57.67,0,0,0.48,0,6.97
 60-70,0,0,0,0,2.08,0,68.13,3.17,0,5.9,0,0,2.64,1.12,0,0,0.72,0.74,0,25.22,0.65,0.98,3.18,234.19,1.12,0.62,2.21,0,1.9,7.53,0,0,0,0,35.69,0,0,3.63,1.13,5.87
 72-82,0,0,0,0,6.79,0.8,59.59,0,0,14.97,0,0,0,5.19,0.54,0.69,0,0,0,36.98,0,0.77,1.95,207.15,0,0,2.8,0,0,2.87,0,0,0,0,70.97,0,1.9,3.32,0.6,16.83
 84-94,0,0,0,0,7.64,0,61.49,0,1.95,8.46,0,1.23,0,0.82,1.57,1.8,1.34,0,4.51,44.8,0,1.07,3.59,168.62,1.25,0,1.6,0,0,15.1,0,0,0,0,12.92,0.74,1.15,0.57,0,7.43
 96-106,0,0,0,0,12.23,0,60.04,1.43,1.63,8.82,0,0,0,4.11,0,0,1.33,0,1.03,54.81,0,0,1.69,122.53,2.03,2.56,0,0,0,10.03,0,0,0,0,4.26,0,2.04,2.65,2.28,2.03
108-118,0,0,0.85,0,8.74,1.71,60.53,3.13,0.73,21.5,3.23,0,0,0.58,3.02,1.92,0,0,0.47,52.67,0,0,9.65,193.19,0.47,1.74,2.89,0,1.07,7.25,0,0,0,0,11.25,0,2.78,0.61,1.09,0
120,0,0,0,0,17.89,0,32.39,2.04,9.45,35.4,1.38,0,0,7.98,0,2.95,0,0,0,38.65,1.16,0,4.05,303.49,3.03,0,3.46,0,0,13.53,0,0,0,0,11.02,0,2.93,2.75,0,4.65
