stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,0,4.75,0,0,0,0,0,0,0
 14-21,0,1.05,5.1,0,0,3.07,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,1.67,4.97,0,5.4,0.84,3.93,0,3.57,0
 24-34,0,0,4.37,0.95,0,0,0,0,0,0.82,0,0,0,1.45,0,0,2.46,0,0,0,29.42,1.58,1.06,0,0,2.81,0,0,0,0,5.62,0,0,0
 36-46,0,0,8.73,0,0,1.63,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0.93,14.56,0,0,0,0,3.13,0,0,0,0,2.48,0,7.04,0
 48-58,0,0,4.08,0,0,7.24,0,0,1.27,0,0,0.47,0,0,0,0,3.82,1.52,10.32,1.47,33.15,0.88,0,0,0,7.85,0,0,0,0,12.26,0,1.34,0
 60-70,0,0,0.68,0,0,12.79,0,0,5.18,0,0,0,0,0,1.86,0,1.27,0.58,0,0,26.97,0,0,0,0,12.5,0,0,0,0,0,0,1.49,0
 72-82,0,0,0.67,0.96,0,13.64,0,5.24,5.28,0,0,0,0.98,0,0,1.2,7.97,0.56,1.07,0,30.64,1.07,1.2,0,0,9.46,0,0,0,0,1.2,0,12.48,0
 84-94,0,0,0,0,0,0,0,0.75,0,1.74,2.11,0,0,0,1.42,0,0.64,2.35,0,0.83,13.71,0,0,0.92,0,35.16,0,1.56,0,0,5.96,1.17,15.97,0
 96-106,1.56,0,3.38,0,0,9.45,0.71,0,0,4.78,0,0,0.68,0,0.67,1.22,0.71,0,0,0,24.96,0,0.7,0,0,58.56,0,0,0,0,5.24,1.97,9.13,0.88
108-118,0,0,14.24,0.7,9.34,1.31,0,1.4,0,1.13,0,0,0.44,0.8,0,0,7.26,0,0,0,4.83,2.05,0,0,0,31.25,0,0,0,0,0,0,12.94,0
120,0,0,1.65,0,0,5.57,1.42,2.12,0,14.83,0,0,4.03,3.26,0,0,7.13,0,4.22,0,24.83,4.99,0,0,0,40.85,0,1.58,0,0,0,0,11.63,0
