stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.33,91.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.39,3.54,0,0,13.34,0,0,11.56,0,0,0,0,0,0,59.26,0,12.54,0,0,0,0,0
 10-12,0,0,9.27,0,0,10.64,0,0,0,0,0,0,0,0,0,58.65,0,12.14,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,1.34,5.24,0.84,0,0,1.01,0.81,2.28,0
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,0,2.22,0,0,5.34,0,0,1.98,0,0,6.12,0
 36-46,0,0,0,0,0,5.54,0,0.96,0,0,0,0,1.07,0,0,15.93,0,0,0,0,0,3.47,0
 48-58,0,0,0,1.53,2.12,10.14,0.44,9.97,0,0,0,0.78,0.39,0,0,4.67,0,0,0,0,0,5.67,0
 60-70,0,0,0,11.81,0,3.33,0,0,0,0,1.39,0,3.89,0.62,0,9.25,0,0,0.62,0,0,4.06,0
 72-82,0,0,0,0,0,9.64,0,3.85,0,0,0,0,0,0,0,14.06,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.27,0,0,0,0,0,0,2.48,0,0,8.16,0,0,0.64,0,0,0,0
 96-106,0,0,0,0,0,8.09,0,1.92,0,0,0,0,0.74,0,0,1.53,0,0,0.8,0,0,0,0
108-118,0,0,0,0,0,3.99,0,0.45,0,0.53,0,0,0.76,0,0,3.15,0,0,0,0,0,0,1.94
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0
