stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,24.31,79.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,125.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,82.62,0,0,0,42.84,0,0,0,0,0,0
 10-12,0,9.7,6.05,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,49.3,9.86,0,0,7.82,0,0,0,0,0,0
 14-21,0,0,0,4.12,0,0,0,0,0,1.53,0,0,0,3.37,0,0,0,1.64,0,0,0,0,2.53,1.25,0,0,0,0
 24-34,0,0,0,3.67,0,2.81,0,0,0,0,0,2.24,0,9.74,0,3.93,0,22.88,0.64,0,0,0,0.72,0.67,5.99,0,0.92,0
 36-46,0,0,0,0.7,0,1.97,0,0,0,1.02,0,0,0,0,1.51,1.92,0,32.76,0.6,0.91,1.43,0,0.91,0,6.06,0,0,0
 48-58,0,0,0,0,0,10.66,0.82,0,0,0,0,0,0,3.95,0,0.56,0.41,15.69,0,0.64,1.07,0,1.42,0,3.32,0,0,0
 60-70,0,0,0,3.21,0,18.66,0,0,0,1.28,0,0,0,1.33,0,3.58,0,24.59,0,1.11,0,0,0,0,6.36,0,0,0
 72-82,0,0,0,1.07,0,12.23,0,0,0.82,3.81,0,0,0.6,16.86,0,2.09,0,12.88,0,0,0,0,0,0,0.67,0.5,0,0.5
 84-94,0,0,0,2.89,0,1.44,0,0,0,0.56,0,0,0,14.29,0,3.82,0,6.73,0,0,0,0,1.42,0,0,0,0,0
 96-106,0,0,0,2.29,2.99,5.93,0,0,0,0,0,0,0,54.96,0,2.45,0,25.05,0,0,0,0,0,0,1.95,0,0,0
108-118,0,0,0.74,1.4,0,11.46,0,0.98,0,3.9,0,0,0,52.92,0,3.68,0.48,12.7,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.19,0,0,0,0,0,0,0,28.85,0,2.35,0,1.42,0,0,2.33,0,0,0,0,0,0,0
