stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,179.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.34,23.39,0,5.08,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.03,0,0,0,91.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.4,0,0,0,0,0,15.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.16,7.85,0,0,79.97,0,0,0,7.01,0,0,0,0,0,0,0
 14-21,0,0,1.32,0.95,5.7,7.77,0,6.6,0,0,0,33.24,0,0,0,0.95,0,0,0,0,6.27,0,8.38,121.4,0.84,4.49,3.25,3.02,0,0,9.99,22.52,4.4,238.82,0,0,1.09,0,0
 24-34,0,0,0,0.67,6.1,0.6,0,13.22,0,0,0,35.09,1.82,0,0,0,0,0,2.41,0,5.81,0,13.38,197.94,5.45,83.99,1,0,0,0,0,30.23,2.21,138.31,0,0,1.04,0,0
 36-46,0,0,0,0,3.66,0,0,23.78,0,0,0,29.33,0.56,1.05,0,0,0,0,1.14,1.89,7.75,0.56,5.18,239.24,0,67.99,0,0,0,2.68,0,34.64,0,108.66,0,0,0,0,0
 48-58,0,0,0,0,2.42,0,0,45.56,0,0,0.4,44.91,0,0,1.75,0,0,1.82,3.76,0,13.05,4.59,1.27,241.71,0,59.37,1.05,0,0,0,0,11.99,0,86.32,0,0,3.04,0,2.34
 60-70,0,0,0,0,2.86,0,0,59.03,0,8.13,4.21,46.57,0,0,1.12,0,0,0.74,0,0,22.59,0,0,324.39,0,45.3,1.6,0,0,0,0,3.05,0,72.67,0,0,1.71,0,0
 72-82,0,0,3.16,0,1.12,0,0,118.35,0,0,0,60.46,3.46,0,0,0,0,7.33,0,0,19.75,2.91,1.9,249.47,0,71.91,16.09,0,0.71,3.88,0,0.86,0,31.12,0,1,0.9,1.87,0.99
 84-94,0,0,9.63,3.03,1.64,0.62,0,74.99,0,0,0.85,46.51,5.38,0,0,0,0,4.37,1.44,0,12.1,0,0,170.96,4.04,56.9,13.9,0,0,2.23,0,9.25,0,30.86,1.17,0,0,2.28,0
 96-106,0,0,3.38,1.47,0.79,0.6,0,68.21,0,0.58,1.3,49.53,3.36,2.33,0,0,0,6.89,8.2,0,5.01,1.26,3.21,159.25,0,101.19,11.52,0,0,3.97,0,0.73,0,45.3,2.04,4.89,4.75,0,10.65
108-118,0,0,7.66,0.68,4.26,4.33,0.6,61.87,0.56,0.9,0,41.57,4.88,0,0.55,0,0,6.49,0.42,0,9.32,0,1.38,320.87,0,106.44,8.68,0,1.59,0.65,0,6.03,0,25.29,0,0,0,0,0
120,0,0,0,3.17,4.9,0,0,72.66,0,0,0,46.77,2.51,0,0,0,9.06,8.99,0,0,14.73,3.7,9.16,475.84,0,99.5,16.69,0,0,0,0,5.8,0,11.27,1.37,1.52,0,3.69,0
