stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,8.4,0,0,0,0,0,0,0,0
 10-12,5.59,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,0,0,6.68,0,0,0,0,0,0,0,0
 14-21,0,0,5.91,0,0,3.16,0,0,2.79,0.98,0,0,0,0,0,9.9,0,2.02,27.11,0,0,0,1.17,0,3.33,0,4.59,27.74,0,0,0
 24-34,0,0,0.68,0,0,2.32,0,0,1.18,0,0,0,0,0,0.78,10.54,0,1.47,51.74,0,0.62,2.1,0,0,0,0,0,11.99,0,4.09,0
 36-46,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.97,0,0,52.5,0,1.98,0,0,0,0,0,0,12.73,0,0.68,0
 48-58,0,0,1.2,0,0,11.57,0,1.1,1.3,0,0,2.63,0,0,0,2.79,0,0.41,47.32,0.56,0.56,0,0,3.24,0,0,0,16.39,0,0,0
 60-70,0,0,3.16,0,0,8.04,0,0,2.09,0,5.1,0,2.13,0,0,9.14,0.73,0,35.57,0,3.96,0,0,1.53,0,0,0,3.45,0,0,0
 72-82,0,0,0,0,0,10.95,0,0,3.12,2.12,0,0,0,0,0,5.33,0,0,75.38,0,3.34,0,0,2.72,0,2.57,0,1.19,0.71,0,0
 84-94,0,1.19,0,4.52,0,48.42,0.64,0,1.87,1.68,0,0,0,0,0,6.57,0,0.91,66.88,0.91,6.33,2.84,0,4.43,0,0,0,18.32,0,0,0
 96-106,0,0,1.16,1.19,0,11.24,0,1.65,0.88,1.48,0,0,0,7.27,0.67,5.71,0.98,0,47,0,10.62,0.64,0,0.6,0,0,0,0,0,0,0
108-118,0,0,3.82,4.22,0.56,21.31,0,0,5.29,0.88,0,0,1.53,0,3.58,2.99,0.44,1.38,88.76,0,2.87,0.44,0,3.53,0,0,0,8.4,0,0.52,0
120,0,0,4.59,0,0,17.76,0,0,2.14,4.1,0,0,4.94,0,0,13.02,0,0,134.68,0,0,1.66,0,7.74,0,0,0,0,0,0,2.08
