stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,21.41,324.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.03,716.59,13.2,0,0,0,0,0,9.31,0,0,13.26,17.14,0,0
  7-9,18.75,6.14,24.96,0,37.46,0,14.68,0,416.56,8.89,0,102.56,0,0,0
 10-12,0,0,32,0,25.77,0,0,0,297.9,0,0,41.13,0,0,0
 14-21,0,0,0.87,5.89,1.11,0,0,0,26.82,0,0.85,1.19,0,3.51,0
 24-34,0,0,0,0,0,0,0,0.95,8.05,0,0,0,0,0,2.77
 48-58,0,0,0,0,0.46,0,0,0,0.93,0,0,0,0,0,0
 72-82,0,0,0,0,0.49,0.74,0,0,0.6,0,0,0,0,0,0
 84-94,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0
