stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.59,0,0,0,12.78,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.12,0,0,0,4.51,0,0,0,0,0,0,0
 14-21,0,0,48.02,1.95,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,1.05,0,0,0,0.99,0,0,0,0,0,0,0
 24-34,0.6,0.67,313.37,2.07,0,0,1.53,0,1.4,0.75,0,0,0,2.18,2.43,0,1.66,0.68,19.01,0,1.47,1.03,0,16.38,0,7.68,0,0,3.04,0
 36-46,0,0,217.19,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,24.32,0.55,0,0,0,3.7,0,9.01,0,0,6.11,6.47
 48-58,0,0.38,245.24,1.59,0,0,1.4,0,0,0.5,0,0,0,0,4.25,0,0,0,42.04,0,0,0,0,8.52,0,2.46,0,0,0.52,0
 60-70,0,0.71,391.78,6.23,0,0,0,0,0,0,0,0.71,8.99,0,1.89,0,0,0,15.75,0,0,0,0,5.13,0,0,0,0,1.91,0
 72-82,0,0,247.03,2.75,0,0,0.92,0,0,0,0,0,0,0,2.07,0,0,0,10.42,0,0,0,0,2.3,0,0,0,0,3.84,0
 84-94,0,1.08,270.74,0,0.68,0,0,0,0,2.71,0,0,0,0.71,0,0,0,0,7.41,0,2.14,0,0,10.7,0,0,0,0,0,0
 96-106,0,0,186.34,0,0,2.7,0,0,0,0.73,0,0,0,0,3.42,1.07,1.11,0,2.58,0,0,0,0,10.65,0,2.37,0,0,0.76,0.66
108-118,0,0.43,136.11,0.7,0,0,5.74,0,0,0,0.47,0,0,0,0,0,0,0,1.53,0,1.77,0,0,8.84,0,0,1.6,0.57,0.69,0
120,0,0,137.06,0,0,0,0,1.55,0,0,1.49,0,0,0,0,1.49,0,0,4.75,0,0,0,0,4.41,1.87,0,0,0,0,0
