stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,212.4,3799.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.35,0,0,0,0,0,0,0,0,0
  5-6,186.93,2591.2,0,31.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.21,44.85,0,0,18.74,0,39.89,0,0,0,0,0,0,0,0,0
  7-9,110.2,101.56,0,321.34,0,0,374.72,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,3702.28,97.96,0,0,1321.92,0,0,44.04,0,0,0,0,0,0,0,0
 10-12,0,157.69,0,201.42,0,31.02,373.2,0,0,0,0,41.41,0,0,0,0,0,0,0,0,0,0,0,3722.15,56.79,0,0,1261.47,0,11.52,4.37,16.47,137.13,4.93,8.6,0,0,0,0
 14-21,0.89,0,0,5.3,90.83,37.63,73.41,0,0,8.95,6.29,2.37,1.15,0.97,1.85,0,0,1.46,0,47.7,0,0,49.92,1121.8,27.93,4.39,8.94,30.85,0,37.42,0,121.05,4.87,52.68,315.54,0,3.57,0,0
 24-34,0,0,1.1,4.72,38.09,8.71,290.39,0.72,1.86,16.39,3.57,2.51,0.62,10.85,3.06,0,3,0.94,0,157.52,0,0.89,40.97,1590.74,2.69,11.5,8.68,0,0,39.63,0,4.2,0.98,4.86,299.57,0,37.28,0,5.01
 36-46,0,0,0,0.56,7.6,1.83,359.11,1.71,0,22.53,0.58,0,0.73,2.15,0,0.93,1.26,0,4.72,83.26,0,4.29,24.65,721.75,0,8.45,2.71,0,0,28.32,0,0,0.63,0,133.38,0,3.28,0,2.88
 48-58,0,0,0,0,12.03,0.39,335.43,0.4,1.07,38.2,5.48,0,1.65,0.74,0.78,0.38,2.09,2.07,0,82.8,0.57,7.83,11.93,325.19,0,1.41,3.13,0,0,6.39,0,0,0,0,51.83,0,9.55,0,11.32
 60-70,0,0,0,0,31.49,0,169.48,1.4,0.84,39.29,12.71,0,0,0,0,0,3.14,0,0,50.39,1.83,4.17,8.64,188.13,0.75,0,0.69,0,0.71,3.84,0,0,11.14,0,2.53,0,3,0,0
 72-82,0,0,0,0,6.92,0.59,99.56,0,2.99,46.48,3.8,0,3.76,1.02,0,2.36,0.61,0,0,45.81,0.58,3.42,10.62,127.99,0,1.8,1.84,0,0.71,6.56,0,0,0,0,4.22,0.67,6.05,0,0
 84-94,0,0,0,1.01,15.06,2.79,72.66,0,0.75,22.16,9.01,0,0,1.55,0,0,2.38,0,0,48.12,0,9.49,2.58,92.28,0,0,2.9,0,0.57,5.49,0,0,0.57,0,1.28,0.81,10.67,0,0
 96-106,0,0,0,1.03,6.99,0,68.83,0,1.26,22.86,3.15,0,0.58,1.33,0.56,0,3.04,2.26,0,35.1,0,1.26,2.58,71.3,0,0.56,1.42,0,0,11.38,0,0,0,0,2.43,0,10.87,0,0
108-118,0,0,0,0,16.81,3.62,50.44,0,1.77,22.95,1.87,0,0,2.63,1.55,0.94,0,1.06,2.71,33.25,1.22,0,2.55,133.25,0,1.91,1.82,0,0,7.28,0,0,0.46,0,2.89,0,4.9,1.02,0
120,0,0,0,1.66,7.19,14.87,77.6,1.44,0,28.43,0,0,0,7.29,0,7.98,0,2.14,0,26.07,0,13.87,6.02,168.82,0,11.27,2.44,0,0,3.17,0,0,1.42,0,0,0,5.66,0,0
