stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,256.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
  5-6,84.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.77,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.53,0,0,0,21.91,0,17.2,0,0,0,0,0,0,0,0,0,0
 10-12,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.37,11.39,0,0,34.87,0,12.44,3.57,7.07,0,0,0,0,0,0,0,0
 14-21,0,0,2.49,30.13,1.03,0,6.13,0,0,0,0,0.92,0,0,1.72,0,0,0,0,2.64,0,0,0,21.02,0.87,0,0,0,0,140.63,1.7,0,3.52,4.74,6.09,0,0,4.91,0,5.52
 24-34,0,0,0,26.56,0,0,4.83,0,0.62,0,0,3.3,0.86,2.3,3.81,0,0.98,0,8.52,15.58,2.04,0,5.67,31.06,0.97,0.76,0.64,0,0,424.49,0,2.77,0,0.74,6.9,0,0,14.03,0,18.61
 36-46,0,0,0,81.69,4.5,0,6.29,0,10.85,0,3.39,0,0,7.39,29.74,0,0.68,0,12.26,14.91,7.51,0,5.59,40.33,0,0,0,0,0,382.67,0,0.75,0.74,0,3.04,0,0,11.98,0,46.38
 48-58,0,0,0,39.25,0.69,0,15.05,0,9.04,5.07,2.23,0,0.5,7.02,1.28,0,2.45,1.78,39.34,7.4,2.77,0.46,2.99,40.63,0,0,0,0,0,246.34,0,0,0,0,4.01,0,0,12.81,0,134.6
 60-70,0,0,0,66.05,0,0,17.97,0,27.86,0.83,6.89,1.34,0,10.54,14.02,9.63,0.8,0,40.12,24.88,2.73,1.81,3.39,31.46,0,0,1.49,0,0,202.44,0,3.42,0,0,7.54,0,0,12.04,0,187.44
 72-82,0,0,0,37.79,0,0,15.94,0,16.37,9.21,11.65,1.15,1.16,7.72,6.07,5.97,0.61,1.65,58.61,58.01,1.68,4.22,1.58,9.12,0.58,1.11,0,0,5.36,81.32,0,0,0,0,1.92,0,1.02,21.38,1.49,128.21
 84-94,0,0,0,93.59,0,0,9.4,0,26.99,10.86,3.09,2.97,0,18.6,24.89,0,8.14,0,51.15,77.17,3.86,2.74,1.05,4.79,2.8,1.27,0,0,0,283.17,0,0,0.61,0,3.53,0,2.39,22.93,2.65,140.77
 96-106,0,0.81,0,92.37,4.65,0.71,19.25,0.64,23.13,5.12,15.71,9.86,3.34,27.9,19.34,3,4.05,0,36.24,63.93,4.53,6.41,11.75,100.52,0,4.77,12.02,0,1.77,225.95,0,1.58,0,0,9.2,1.69,5.55,21.04,0.86,159.52
108-118,0,0,0,173.49,1.51,0.65,15.47,0.76,42.74,5.02,7.57,14.99,0,20.69,26.08,6.79,4.86,2.95,104.6,115.21,2.86,5.91,6.6,29.24,8.53,0.83,1.76,0,0.89,235.45,0,2.6,0,0,1.86,4.71,0,26.86,0.49,263.93
120,0,0,0,229.26,0,0,14.64,0,40.76,0,34.08,4.23,10.58,55.22,40.44,5,0,1.05,21.43,214.31,2.24,0,1.9,51.9,2.55,15.55,12.85,0,4.76,190.07,0,3.47,0,0,0,17.82,0,27.91,12.48,90.92
