stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,6.3,0,0,0,0,0,0,0,0
 10-12,0,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.44,0,0,0,6.18,0,0,0,0,0,0,0,0
 14-21,0,0,1.91,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.83,0.85,0,0,0,0,1.13,14.03,0,0,0,0,0
 24-34,0,0,4.5,0,34.41,0,0,0,0,0,0,0,0,0,0,1.77,0.7,0,2.18,162.07,0.6,0,0,0,0,0,34.1,0,0,0,0,0
 36-46,0,0,0,1.4,10.43,0,0,0,2.78,0,0,0,4.26,0,0,0,8.62,0,0.56,398.07,0,1.85,0,0,0,0,79.1,0,0,0,0,0
 48-58,0,0,0,0,92.31,0,0,0,15.96,0,0,0,0,0,2.84,0,11.1,0,8.52,733.08,3.79,0,0.97,0,0,0,59.96,0,0,0,0,0
 60-70,0,0,1.1,0,281.89,0,0,0,26.62,0,0.78,0,0.85,1.2,3.12,0,20.69,0,0.63,1140.38,0.66,7.72,1.49,0,0,0,116.06,0,0,0,0,3.46
 72-82,0,0,4.09,3.58,328.86,0,0,0,70.39,0.7,0,0,0,0,0,0,21.69,0,0.67,958.08,0,2.41,3.14,0,0,0,85.54,2.31,2.24,0.59,0.85,0
 84-94,0,0,11.16,0,315.72,0,0,0.69,30.54,0,0,0,0,0,0,0,22.61,4.7,10.41,753.08,0,4.36,0,0,0,0,47.07,0,0,0,0.57,7.98
 96-106,0,0,9.99,1.35,307.45,0.64,0,0,56.68,0,0,0.81,0,0,0,0,16.08,1.14,2.53,582.77,0,0,2.48,0,0,0,34.49,0,0,0,1.58,0
108-118,0,0,9.66,5.58,263.52,0,0,0,60.61,1.06,0,0,0.5,1.26,0,0,16.48,1.96,1.13,694.91,0.46,0,1.35,0,6.57,0,31.13,0,0,0,0.44,0
120,0,0,9.21,16.46,242.54,0,1.16,0,72.54,0,0,0,0,0,0,0,5.09,0,0,911.79,0,0,5.31,0,23.01,0,75.55,0,0,6.5,0,0
