stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.66,91.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0
  5-6,8.83,44.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,10.04,0,0,0,0,0,0,0,0
  7-9,5.33,15.32,0,31.77,0,0,0,8.99,0,0,0,0,0,418.88,0,0,0,0,0,0,0,43.33,12.39,0,0,15.78,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,89.7,0,0,0,0,0,0,0,0,0,356.28,0,0,0,0,0,0,0,179.18,10.67,0,0,0,0,0,0,5.09,0,0,0,0
 14-21,0,0,4.23,5.72,5.85,0,0,0.89,0,0,0,0,0,4.3,0,0,0,0,0,0,0,19.81,0,0,0.92,0,0,0,0.98,10.61,0,0,0,0
 24-34,0,0,0,0,0.67,0,0,1.72,0,0,0,0.93,0,0,0,0,0.79,0,0,0,0.6,66.23,0,3.08,0.65,0,1.9,0,0,18.92,0,0,0,0
 36-46,0,0,0,0,0.68,0,0,2.94,0,0,0,4.8,0.56,0,0,3.34,16.36,0,6.93,0,0,49.33,0,0.75,1.65,0,0,0,0,22.22,0,0,2.06,0
 48-58,0,0,0,0,0,0,0,17.09,0,0,0,28.56,0.56,0,0,0,1.04,0,9.92,0,0,113.71,0,4.87,5.51,0,1.54,0,0,12.52,0,0,0,0
 60-70,0,0,15.57,0.68,4.79,0,0,106.98,0,0,0,131.87,22.14,0,0,1.36,2.18,0,68.41,0,0,123.45,0,4.77,17.05,0,2.92,0,0,31.19,0,0,0.73,0
 72-82,0,0,47.55,2.85,5.08,0,0,224.88,0,0,0,146.21,28.04,0,0,11.44,3.47,0,180.5,10.77,1.22,222.64,0,9.28,25.7,0,4.64,0,0,23.03,0,0.87,8.68,0
 84-94,0,0,37.02,5.14,3.45,0,0,476.59,0,1.13,0,193.92,49.18,0,0.92,5.58,5.21,5.31,170.38,0,0,110.96,0,9.71,36.26,0,6.14,4.2,0,10.64,1.63,0,2.66,0
 96-106,0,0,40.92,12.46,5.54,0,0,358.22,0.87,4.49,0,210.13,39.87,0,0,8.09,32.14,0,135.15,0,0,119.76,0,11.91,26.56,0,8.13,0,0.78,27.2,0,0,10.52,0.8
108-118,0,0,51.83,17.41,0.71,3.61,1.7,284.38,0,0,0.53,184.95,22.07,0,0,9.4,17.39,0.59,262.53,0,1.26,119.48,0,11.68,36.6,0,0,0,1.41,21.51,0.67,0.9,24.72,0
120,1.12,0,90.44,33.59,6.31,0,0,344.71,0,0,0,323.62,70.74,0,0,31.6,11.77,0,346.36,0,2.99,400.04,3.31,43.68,67.48,0,5.39,0,5.04,24.45,0,0,11.42,0
