stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.59,0,0,0,0,0,0,0,0,0,47.61,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.95,0,0,0,0,0,0,92.48,0,12.84,0,0,0,0,0
 14-21,0,4.98,0,1.27,0,3.04,0,0,0,0,1.49,0,9.64,0,0,0,0,7.15,0,0
 24-34,0,14.26,0,0,0,0.75,0,0,0,0,0,0,19.97,0,0,0,0.65,6.19,0,0
 36-46,0,6.97,0,0,0,0,0,0,0,0,1.33,0,25.44,0,0,0,2.18,5.87,0,0
 48-58,0,16.28,0,0,0,2.76,0,0,0,0,2.43,1.36,17.99,0,0,0,0,4.36,0,0
 60-70,0,2.11,0,0,0,18.64,0,0,1.64,0,4.56,7.13,21.09,0,0,0,0,0.99,1.99,5.63
 72-82,0,6.69,0,0,0,10.13,0,2.79,16.34,0,2.9,2.88,4.93,0,0,1.54,0,0,0,3.57
 84-94,0,5.07,0,0,0,4.34,0,0,32.36,0,1,2.23,4.72,0.65,0,0,0,0,3.04,6.15
 96-106,0,2.83,0,0,0,5.09,0,2.7,37.84,0,0,8.59,8.17,0,0,0,0,0,2.06,13.72
108-118,0,9.2,0,0,0.56,4.59,0,4.7,21.4,2.34,10.27,0,4.93,0,0,0,0,0,4.04,5.88
120,0,0,0,0,0,3.24,2.08,0,60.64,0,8.87,15.84,13,0,0,0,0,0,0,1.05
