stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,3.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49,0,0,9.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14.44,0,3.13,0,0,2.24,0,0,0,0,0,0,0,16.65,0,56.46,11.55,0,0,0,0,0,6.08,0,0,31.38,0,0,0,0
 24-34,0,0,0,11.68,2.34,12.34,0,15.56,0,0,0,0,0,0,0.65,0,176.21,0,143.1,59.69,0,2.48,0,0,0.91,0,0,0,87.25,5.98,0,0,0
 36-46,0,0,0,7.25,0,11.01,0,32.11,2.23,0,0,0,2.12,0,0,1.96,257.44,0,92.73,54.15,0,1.22,0,0,0,0,0,0,0.83,1.56,0,4.53,0
 48-58,0,0,0,0,0,22.27,11.91,43.15,1.46,0,2.63,0,0,0,0,5.21,241.57,3.96,87.21,51.09,0,8.7,0,0,0,0,0,0,0,3.83,0.91,0,0
 60-70,0.81,0,0,0,0,19.31,2.9,42,22.32,0,0,0,0,0,0,0,283.47,0.89,66.8,63.61,0.67,20.21,0,0,0,0,0,0,0,3.23,3.47,0,2.72
 72-82,0,0,0,6.45,0,25.68,0,38.4,51.54,0,0,3.36,0,0,0,0,304.22,1.75,63.93,57.91,0,27.61,0,0,0.8,0,0,0,0,2.29,5.15,0.93,0.53
 84-94,0,0,0,2.1,0,25.56,0,52.38,39.35,0,0,1.44,0,0,0,1.26,288.25,0,31.32,40.51,0,25.21,0,2.65,3.28,0,0,0.69,0,0.76,10.47,0,1.16
 96-106,0,0,0,0.86,0,39.85,0.56,16.98,98.2,0,0,1.65,0,0,0,4.26,309.2,4.86,57.69,60.9,0,19.31,0,3.97,0,0,0.71,0,0,2.44,10.24,5.03,1
108-118,0,0,0.49,2.28,0,33.19,0,24.66,161.94,0,0,1.01,0,2.92,0,2.2,453.89,2.51,55.7,82.09,4.11,44.98,0,4.35,0,0,0,0,0,4.6,3.94,0,1.3
120,0,0,0,0,0,16.01,0,26.61,235.57,1.33,0,0,3.58,2.91,1.34,0,324.95,15.18,14.01,122.1,0,13.2,0,0,0,0,0,0,0,1.53,10.86,0,0
