stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,421.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0
  5-6,17.59,359.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.82,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,7.23,4.95,0,0,0,24.19,0,0,0,0,0,10.11,0,0,0,0,0,0,0,284.37,12.71,0,0,91.5,0,0,0,0,0,0,0,0
 10-12,0,7.39,21.1,0,9.23,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,317.4,0,0,0,151.08,0,0,4.43,0,0,0,0,0
 14-21,0,0,0,11.51,0,0,0.88,0,0,0,1.24,0,0,0,0,0,0,2.56,0,3.32,30.32,2.05,0,0.93,2.06,1.03,9.03,3.32,1.09,9.25,0,0,0
 24-34,0,0,0,5.95,0.76,0,9.94,0,0,0,0,1.59,0,0,0,0,0.73,10.05,1.09,2.79,45.01,0,2.01,0,0,3.96,0,0,4.73,8.09,0,1.53,4.46
 36-46,0,0,0,10.77,0,0,10.73,0,0,0,0,0.56,0,0,0,0,0,2.95,0,0.71,14.19,0,0,0,0,10,0,0.7,0,0.87,0,0.91,0
 48-58,0,0,0,3.34,0,0,21.01,0,0,0.4,2.96,1.61,0,0,0,0.5,0,2.83,1.5,2.3,18.57,0,0.9,0.43,0,5.72,0,0,0,7.82,0,2.74,0
 60-70,0,0,0,4.1,0,0,22.12,0,5.59,0,0,0.62,0,0,2.96,15.82,0,14.37,2.9,1.48,25.48,0,0,4.55,0,4.61,0,0,0,0.67,0,0,0
 72-82,0,0,0,2.19,0,0,22.37,0.59,0,1.48,4.78,1.01,0,1.42,0,0,0.51,4.5,0.78,0,10.86,0,0.67,1.32,0,2.68,0,0,0,2.69,1.33,0,0
 84-94,0,0,0,1.87,0,0,7.93,0,0,0.73,0.71,2.11,0,0,0.78,0,0.96,3.98,1.39,0,6.48,0,0,0,0,1.85,0,0,0,0.67,0.78,0,0.7
 96-106,0,0,0,1.8,4.45,0,2.81,0,0,0,2.92,2.12,0,0,0,0,0,2.46,0,1.49,3.73,0,0.69,0,0,1.35,0,0.7,0,0,1.22,0,0
108-118,0,0,0,2.47,0,0.52,8.18,0,0,2.41,2.03,0,0,0,0.79,0,0,3.37,0,1.12,8.16,0,0,0.44,0,0,0,0.64,0,0,0,0,0
120,0,0,0,4.77,0,0,4.06,0,0,0,10.52,1.31,0,0,0,0,0,3.09,0,1.11,0,0,0,5.63,0,2.99,0,0,0,0,0,0,0
