stage,eye,glial,neural,otic,spinal_cord
  7-9,0,0,10.3,0,0
 24-34,0,0,2.87,0.73,0
 36-46,0,0,10.98,0,0
 48-58,0,0,22.28,0,0
 60-70,0,0.66,23.11,0,0.87
 72-82,6.88,0,24.09,0,0
 84-94,1.35,0,9.27,0,1.8
 96-106,0,0,6.61,0,0
108-118,13.81,0,18.88,0,0
120,0,0,22.83,0,0
