stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,3.38,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,12.02,0,0,12.04,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,1.12,0,2.87,2.71,0,0,0,2.15,30.02,3.27,0,0,0,0,0
 24-34,0,0,0,0.87,0,0,0,0,0,0,2.62,0,0,0,0,0,0,3.82,0,0,0,2.55,69.02,0,0.88,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0.95,0,0,21.33,0,0,0,1.69,158.19,0,4.94,0,0,0,0
 48-58,0,0,2.24,0,3.7,4.06,0,2.21,0,0,0,0,0,0,1.02,0,1.4,21.79,0,1.88,0,0,75.28,0,0.67,0,0,0,0
 60-70,0,0,0,0,1.02,13.63,0,0,0,0,5.18,0,0,0,0,1.09,4.08,7.24,0,1.26,0.81,6,41.39,0,0,0,0,0,0
 72-82,0,0,0,0,5.63,7.72,0,3.07,0,0,3.23,0,0.65,0,0,0,2.71,17.17,0.75,0,0,0,24.93,0,2.15,0,0.49,0.9,0
 84-94,0,6.98,0,0,10.23,18.41,0,0,0,0,4.28,0,0,0,2.76,0,11.12,5.21,1.9,0.55,0,4.27,32.88,0,0,0,1.15,0,0
 96-106,0,1.56,0,0,15.23,34.88,1.4,3.16,0.69,0,7.73,0,0,0,5.13,0,1.21,11.01,0.97,1.39,0,0,26.66,0,0,1.66,0,0,0.67
108-118,0,0.76,0,0,2.94,43.19,0,0.48,0,0,3.29,0,0,3.6,2.81,0,1.98,2.97,0,0.72,8.11,3.08,38.87,0,1.46,0,0.53,0,0
120,0,3.64,2.02,0,8.5,30.04,0,10.72,0,0,1.85,6.2,0,0,1.46,0,4.71,36.96,0,3.67,0,0,13.88,0,0,0,0,0,0
