stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0
 24-34,0,0,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0.67,0,2.37,0,0,0
 36-46,0,0,64.12,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,2.94,0,1.32,0,0,0
 48-58,0,0,96.98,0,6.4,0,0,0,1.61,0,0,0,0,0,0,1.12,0,0,2.14,0,0,0,0,0,2.19,0,0,0
 60-70,0,0,192.25,0,9.42,0,0,0,0,0,0,0,3.34,0,0,2.29,0,0,27.09,0,0,0,0,0,1.69,0,0,0
 72-82,0,0,1442.79,0,23.27,1.43,0,0.75,0.98,0.56,0,0,0,0,0,6.26,0,1.64,30.36,0,0,0.71,8.06,0,3.21,2.61,6.37,0
 84-94,0,0,918.69,0,13.8,0.68,1.81,0,2.49,0.68,0,0,0,0.65,0,9.4,0,3.03,7.2,0,1.68,0,0.93,0.82,3.49,0.62,0,3.31
 96-106,0,4.44,3452.7,0,22.46,1.29,0.96,2.92,3.42,3.03,9.24,0.93,0,0,1.12,3.21,1.09,0,54.66,0,0,0,1.66,0,4.23,1.82,12.67,1.22
108-118,3.13,0.99,1513.92,0,26.41,2.09,0.53,0,0.62,0.73,7.25,3.09,0,0,1.52,8.54,0,2,39.61,2.58,0,1.83,2.82,0,0,0,11.79,0.65
120,0,1.43,2013.18,15.85,12.99,0,0,0,10.35,0,0,30,0,2.51,0,0,0,0,27.79,0,0,0,0,0,0,0,31.22,0
